id,z_phot,z_phot16,z_phot84,lbol,r_eff_50_phys,z_dist_proxy,log_Sigma,log_Reff,log_lbol,z_asym_norm,density_group,size_group
20187,6.6081676,6.536915,6.7627773,45.863721409238245,72.95404931448154,0.22586230000000018,-2.561779386788757,1.8630494024135487,1.6614692907324744,-0.3690615919522633,Q4 (highest Σ),Q1 (smallest)
21943,4.7154994,4.5712404,4.7767925,44.16644971617496,118.53507125803986,0.20555210000000024,-2.9997511126725684,2.073846865117126,1.6450924902558177,0.4036246771499756,Q2 (low Σ),Q4 (largest)
23571,4.760719,4.5230947,4.811995,43.69029471827781,102.9091919716332,0.2889002999999999,-2.8816732347787104,2.0124541681955397,1.6403849743065029,0.6450263291523084,Q2 (low Σ),Q3 (large)
26971,6.4066525,6.3416157,6.465545,44.79830651459673,133.57555911087675,0.12392929999999946,-3.0973422771719563,2.1257270006970574,1.6512615969162923,0.04957907452071388,Q1 (lowest Σ),Q4 (largest)
27072,4.957128,4.943915,4.964197,46.59575706911795,63.849597371654575,0.0202820000000008,-2.4391198263175045,1.8051581629961453,1.6683463723689196,0.3029287052558764,Q4 (highest Σ),Q1 (smallest)
27765,5.1726418,5.1333156,5.212574,45.10875502552641,83.07954313529999,0.07925839999999962,-2.681877230958121,1.9194940996304695,1.654260840996952,-0.007645877282412103,Q3 (high Σ),Q2 (small)
31668,5.6076913,5.4341836,5.7174525,45.495762608354575,65.8799880032613,0.2832689000000004,-2.4766859463681516,1.8187535114127458,1.6579709491514736,0.22503882353480958,Q4 (highest Σ),Q1 (smallest)
31770,5.77907,5.622505,5.8317294,45.84868051222367,65.86514684958436,0.2092244000000001,-2.4731343600347144,1.818655664442056,1.6613268415435312,0.4966227648400431,Q4 (highest Σ),Q1 (smallest)
32928,4.4581003,4.4134326,4.483596,45.31800454200084,88.29622998359365,0.07016340000000021,-2.7327634155725,1.9459421607431902,1.6562707786080146,0.2732478756730609,Q3 (high Σ),Q2 (small)
40209,5.4609075,2.0875363,5.47835,44.62796065179776,96.23145359555866,3.3908137,-2.814176923101376,1.9833170459495988,1.6496070414919555,0.9897119089733537,Q2 (low Σ),Q3 (large)
40642,4.63434,4.335391,4.726117,44.22669922925248,99.40246644881638,0.3907259999999999,-2.846259665955418,1.9973971605725795,1.645684527883875,0.5302232254828168,Q2 (low Σ),Q3 (large)
40799,7.681151,7.313635,7.8383183,45.89769968590529,72.90880432892983,0.5246833000000004,-2.5609189048324703,1.8627799760627228,1.661790919987109,0.4009060322674645,Q4 (highest Σ),Q1 (smallest)
42464,5.3674827,5.3295207,5.391062,45.91706188463195,104.96168627510784,0.06154130000000002,-2.877237380408436,2.0210307992999876,1.661974090885673,0.2337080952141167,Q2 (low Σ),Q3 (large)
43445,5.696871,5.6990414,6.3429327,43.58499888292897,150.07226935186785,0.6438913000000008,-3.210413733245208,2.1763004498709577,1.639337039190841,-1.006741510562419,Q1 (lowest Σ),Q4 (largest)
45179,7.1054926,7.054539,7.1398506,45.64953762247929,59.43450155455832,0.08531159999999982,-2.385790739429904,1.7740386248613926,1.659436382987015,0.19452923166368505,Q4 (highest Σ),Q1 (smallest)
47824,5.655495,5.622941,5.681624,45.59278502119888,104.23361021977952,0.05868300000000026,-2.874269311309221,2.0180077801858483,1.6588961217566092,0.10948656339996415,Q2 (low Σ),Q3 (large)
48498,4.453304,4.148948,4.711691,43.91211622383651,183.0793189388025,0.5627430000000002,-3.3798440817921445,2.26263928816825,1.6425843672384899,0.08168737771949247,Q1 (lowest Σ),Q4 (largest)
48540,5.656249,5.6599965,8.583762,43.89404614049595,129.66140636657602,2.9237655,-3.0803657125597637,2.1128107278478745,1.6424056158301192,-1.0025634750803374,Q1 (lowest Σ),Q4 (largest)
50325,6.427699,6.3556566,6.4906993,44.31072436232306,136.02620503510835,0.13504270000000052,-3.1178861869316776,2.1336225819426176,1.646508849647691,0.06695734015981132,Q1 (lowest Σ),Q4 (largest)
50988,4.526494,4.401496,4.6140428,45.45869859412608,112.92731964664192,0.21254680000000015,-2.94513091463233,2.052799020193271,1.657616998448346,0.17619272555502727,Q2 (low Σ),Q3 (large)
51514,4.43674,4.365272,4.6293116,45.390968712621714,100.43890060929056,0.26403960000000026,-2.843984322020335,2.0019019503378614,1.6569694513495217,-0.458656959031901,Q2 (low Σ),Q3 (large)
51855,4.651201,4.4488316,4.7215395,44.89487579758355,94.25044203453028,0.27270789999999945,-2.7935198897265257,1.9742833957235295,1.6521967744146673,0.4841476906242955,Q2 (low Σ),Q3 (large)
52084,7.07561,7.0225306,7.1263623,46.03041525911908,55.488546720226125,0.10383170000000064,-2.3225116808726662,1.7442033505187702,1.6630448928590078,0.02241223056157663,Q4 (highest Σ),Q1 (smallest)
52124,4.833804,4.7612166,5.261095,44.96137677023151,147.2682086334743,0.49987840000000006,-3.180528279532294,2.1681090041052737,1.6528396013723867,-0.7095797698000164,Q1 (lowest Σ),Q4 (largest)
