id,field,z_phot,M_msun,R_pc,Sigma,logSigma,f444w_flux,f150w_flux,color_mag,color_excess,z_N,emit_enhance,sersic_enhance,z_sersic,geom_factor,geff_factor,z_final,dmag_N,dmag_emit,dmag_sersic,dmag_geo,dmag_final
18804,primer-uds-north,4.3172913,5248074602.497734,104.11764122760248,154099.59097805354,5.187801485985064,0.6404656302606717,0.0891541222951243,-2.140886000121213,-0.1142370576323426,2.412816171820396e-06,1.455,3.671056845830528,8.857585325291872e-06,1.3,1.946039646006254,2.240837587417154e-05,5.239363746342631e-06,7.6232742509285284e-06,1.9234002148807397e-05,2.5004202793449615e-05,4.8659169952833276e-05
18892,primer-uds-north,4.729469,1000000000.0,90.50174813927704,38862.98822407189,4.589536190996916,0.2095088110909186,0.0178511494541913,-2.6738402658157687,-0.6471913233268984,5.289219465290244e-07,1.455,3.671056845830528,1.9417025327153835e-06,1.3,1.1198150558222542,2.8266520490817565e-06,1.1485394136754103e-06,1.6711248468977223e-06,4.216353477279296e-06,5.481259520463085e-06,6.1379969358836315e-06
19416,primer-uds-north,5.433182,3548133892.3357606,167.72615035565858,40146.58132704431,4.603648568941888,0.1108200052195378,0.0310844576695719,-1.3801871791072813,0.646461763381589,1.0126229745915172e-06,1.455,3.671056845830528,3.717396503119462e-06,1.3,1.1257998030962315,5.440557526615263e-06,2.198882850567763e-06,3.199374547576095e-06,8.072223941756134e-06,1.0493891124282973e-05,1.1814020561431063e-05
21108,primer-uds-north,7.1364045,6025595860.743568,81.31058340571161,290105.50701358437,5.462555973004357,0.1708201868165751,0.0143996301914276,-2.68546963431187,-0.6588206918229997,3.5473290752109028e-06,1.455,3.671056845830528,1.3022446685966661e-05,1.3,3.443661617522693,5.829836976430868e-05,7.702927214295301e-06,1.1207759096799663e-05,2.8277883682973042e-05,3.676124878786496e-05,0.00012659330146297317
22773,primer-uds-north,4.401274,3890451449.942805,101.92125161603352,119212.18025167023,5.076320630788794,0.3044200542439161,0.0665745050041828,-1.6504132823935538,0.3762356600953165,1.82719041112086e-06,1.455,3.671056845830528,6.7077198673811304e-06,1.3,1.6437067364966733,1.4333181632311017e-05,3.967693564681618e-06,5.772994136611754e-06,1.4565628622782182e-05,1.8935317209616837e-05,3.1124108455148585e-05
23575,primer-uds-north,5.6605954,3467368504.5253096,95.52958794710352,120941.21250352592,5.082574318337651,0.2768795577700517,0.0246950953157963,-2.6242004647128048,-0.5975515222239345,1.7374433422530009e-06,1.455,3.671056845830528,6.378253275820552e-06,1.3,1.657761705387934,1.3745711236296591e-05,3.7728102808001058e-06,5.489438958564154e-06,1.3850201009351025e-05,1.8005261312156332e-05,2.984843269879567e-05
24081,primer-uds-north,5.6564054,4365158322.401666,77.0447797884074,234079.6669841328,5.3693636909281235,0.3322097171981511,0.0358976224483437,-2.4158666148040506,-0.38921767231518034,2.712097744409372e-06,1.455,3.671056845830528,9.956264991175559e-06,1.3,2.771138992325999,3.5867252375469915e-05,5.889245423896229e-06,8.568852091769014e-06,2.1619754730170363e-05,2.8105681149221475e-05,7.78847489384894e-05
24100,primer-uds-north,4.991886,6456542290.346562,86.23758336823218,276348.41098119435,5.441456971707434,0.408389672025762,0.0611302452673905,-2.0620465304639684,-0.035397587975098066,3.5838677724906863e-06,1.455,3.671056845830528,1.3156582320753338e-05,1.3,3.271917545392766,5.596142829248026e-05,7.782269987318017e-06,1.1323202831547717e-05,2.8569155513045262e-05,3.7139902166958846e-05,0.00012151869753424344
29106,primer-uds-north,5.2048426,6025595860.743568,114.10112156484168,147322.91403356183,5.168270300572366,0.3861896677059651,0.0649285076557188,-1.9359130732681942,0.09073586922067611,2.527892738315715e-06,1.455,3.671056845830528,9.280037942519185e-06,1.3,1.884326335836458,2.2732605860445623e-05,5.489249335469079e-06,7.98685778310751e-06,2.015134635144444e-05,2.6196750256877774e-05,4.936322642236528e-05
29110,primer-uds-north,7.1287746,4265795188.0159345,100.54216119836272,134324.02429468004,5.128153694615938,0.1445161363463001,0.0104161850169297,-2.855519141796509,-0.8288701993076386,2.0309551802231374e-06,1.455,3.671056845830528,7.455751917933123e-06,1.3,1.7699059037177545,1.7154773137066248e-05,4.410163138818664e-06,6.416787366981156e-06,1.6189959581989704e-05,2.104694745658662e-05,3.725111655865003e-05
