id,field,z,m_f444w,color,logSigma,reff_kpc
31645,primer-uds-north,4.7559195,25.51760363984053,-1.724784543174259,-8.318468695802345,0.11368773652076455
32025,primer-uds-north,4.0433307,25.209262779350105,-2.019922069970935,-7.940628013126101,0.08481280966663823
32237,primer-uds-north,4.6121683,24.248527512901603,-2.2631593706573128,-7.456006886054801,0.07556104237564186
32986,primer-uds-north,4.152747,26.711547845144672,-1.2600448754279228,-8.58056413273573,0.08870998326951834
33332,primer-uds-north,4.5419765,25.688235587023055,-1.1820862465244524,-8.636086141561304,0.1514941816207269
33774,primer-uds-north,7.137637,26.001165499407165,-1.5564350808100897,-8.630169670251277,0.13027219633898407
35111,primer-uds-north,5.6563144,24.865355544122586,-2.382153737000685,-8.032001891175375,0.11039002628754632
36327,primer-uds-north,7.861698,26.73879512628302,-1.7658823169505737,-8.688569845478888,0.09920324935216414
42014,primer-uds-north,4.551596,26.423893607161332,-1.7801372558152515,-9.135105056407465,0.19176697022358918
42859,primer-uds-north,6.580927,25.46265700283104,-3.6530030648545058,-7.981032990495797,0.07906514917711044
43738,primer-uds-north,5.090068,24.1965713829393,-2.685372084402516,-7.623027397668256,0.0937992621780625
43932,primer-uds-north,4.235388,25.429126438009895,-1.2571763374284117,-8.361570003409426,0.12443991738264219
44053,primer-uds-north,5.438139,25.631579264486515,-2.6826721542473244,-8.456908749605697,0.1265139810188023
44681,primer-uds-north,4.5811663,25.45273954359271,-2.3169145330998937,-8.009540502277687,0.08207716409557993
46085,primer-uds-north,4.78585,24.432875500604702,-1.9582308101881516,-7.525500596131746,0.07519261660062519
48927,primer-uds-north,7.907303,26.84193289114394,-1.6007139733771965,-8.6326520650404,0.08870323407788339
52141,primer-uds-north,7.130078,25.811602170104905,-1.556508731816571,-8.166974174333713,0.08340011570308986
52856,primer-uds-north,6.320852,26.54260723239973,-0.49799413302343964,-8.847391454956279,0.13036898400918762
53667,primer-uds-north,4.5639205,25.267998323680114,-1.9468171920260282,-8.396552710748313,0.13953292252148583
54143,primer-uds-north,4.7315016,25.92362397704709,-1.2871932181623293,-8.633055962806285,0.13545754054007486
54603,primer-uds-north,5.651867,26.17720306181118,-1.6473873879022456,-8.635097752821645,0.12081149651493617
55902,primer-uds-north,8.670386,26.267205238159107,-1.8853086419492833,-8.273697372620408,0.07645530737967628
56783,primer-uds-north,5.3133664,25.6187336291912,-3.330028576631708,-8.135671919781757,0.0879203147264202
57469,primer-uds-north,5.667973,24.95498283501905,-1.6443744345688103,-8.027456428708645,0.10537355869003377
57944,primer-uds-north,5.28979,25.58721810818164,-2.196502705858169,-8.031789296945574,0.07915001961700119
61010,primer-uds-north,7.1341963,26.30214738519982,-1.5716755479304219,-8.84742364503737,0.14564056178251772
61298,primer-uds-north,5.242596,25.227073217737743,-2.71919437384118,-7.95396475674986,0.08542160650122935
61378,primer-uds-north,7.4582853,26.703882153575,-1.0033681618983685,-8.82227133737287,0.11758698040520518
62716,primer-uds-north,5.386735,25.146819802617685,-1.7190313650986546,-7.956148602981582,0.08886082499488972
64273,primer-uds-north,7.13156,26.407247371982173,-2.552624214762318,-8.52245992232225,0.0954510008990175
66007,primer-uds-north,4.5963383,25.496600386553816,-2.733268016912433,-8.116587114790558,0.09098577110551594
67270,primer-uds-north,5.6651006,24.596408364657044,-2.492172436508369,-7.666248558598639,0.08200542927635038
68006,primer-uds-north,5.1602645,24.042526064823747,-3.087157088234182,-7.357112366785918,0.07413972493550951
69921,primer-uds-north,5.6548767,25.025810508025813,-2.9057257928858746,-8.113406791448595,0.11260075282301597
69936,primer-uds-north,7.0339665,25.743217105799225,-1.3923260286963384,-8.089271046847633,0.07870314772328627
70423,primer-uds-north,5.4776564,25.661716776375034,-3.0236641984905823,-8.223338566849254,0.09535114842972806
70813,primer-uds-north,4.7062697,25.11088123833326,-1.9512080355992971,-8.050441176468748,0.10070344797393987
71037,primer-uds-north,6.849483,24.745274711968698,-2.9185013590483706,-7.568496137259757,0.06842158433044855
71893,primer-uds-north,6.429184,26.35248079608195,-1.561575356786772,-8.79569104829984,0.13407548138606465
4278,primer-cosmos-east,5.6582265,26.172965889406754,-1.3545029998040299,-8.913191785537611,0.16672576349784188
6282,primer-cosmos-east,5.673777,24.82146132583408,-1.708079668797982,-7.6700446216299145,0.07425574260142745
9227,primer-cosmos-east,5.713857,24.618897847752166,-1.2428407844730707,-8.283788201155431,0.16523975068084368
10696,primer-cosmos-east,5.6677623,25.92536361795734,-2.2164216366486755,-8.262812863641027,0.0883758712353823
11967,primer-cosmos-east,5.482298,27.0475205271081,-1.7795539196361254,-9.067667176857064,0.13314641670470148
14086,primer-cosmos-east,7.127323,26.190697850822076,-2.632846583225515,-8.264471235880658,0.07836029237983924
14487,primer-cosmos-east,7.1692533,26.984553167657108,-1.6405159455437186,-9.095235900267326,0.1414839957719728
15393,primer-cosmos-east,5.68946,27.31213411479622,-1.5770874829445667,-9.109566942538848,0.1236962826516061
15850,primer-cosmos-east,7.0456376,24.892983067388265,-3.138091807616931,-7.726648627965924,0.07668805100667778
16083,primer-cosmos-east,4.57788,25.36238678988825,-2.0591314488754584,-8.05788650878235,0.09046193984352977
16408,primer-cosmos-east,4.574863,25.357484117592175,-1.9961338448326842,-8.06459425589443,0.09136930141555191
16563,primer-cosmos-east,5.0219927,24.68913607145142,-2.7658746544820616,-7.577375356062796,0.07093498214271098
17813,primer-cosmos-east,5.226693,26.480933152910374,-2.26805083604615,-8.670481069059782,0.10940921548419055
18893,primer-cosmos-east,4.8477397,26.74253902618404,-0.49635857961289886,-9.14175533817336,0.16686677167428374
19462,primer-cosmos-east,4.365069,26.38375475730759,-2.1188009339401823,-8.500237389891067,0.0940519368287005
19946,primer-cosmos-east,5.974449,25.97432581370892,-1.8730546901232366,-8.275244692984307,0.0876510622581253
20187,primer-cosmos-east,6.6081676,24.883507507234153,-2.403085932092395,-7.67950180772076,0.07295404931448153
21943,primer-cosmos-east,4.7154994,26.15305290295322,-1.8881995500076414,-8.608914891415541,0.11853507125803986
23571,primer-cosmos-east,4.760719,26.762682764100717,-1.2317486584161585,-8.729981442031368,0.1029091919716332
26971,primer-cosmos-east,6.4066525,25.066882704869997,-1.595523025469511,-8.278207083342114,0.13357555911087676
27072,primer-cosmos-east,4.957128,20.529837308078054,0.100018149504006,-5.822251249223513,0.06384959737165458
27765,primer-cosmos-east,5.1726418,25.44612121609566,-2.2217952255962743,-8.017436685699202,0.08307954313529999
31668,primer-cosmos-east,5.6076913,24.3886556478863,-2.6866345922087724,-7.392969281980012,0.06587998800326131
31770,primer-cosmos-east,5.77907,23.740677344377314,-2.6094608807312234,-7.133582266635038,0.06586514684958436
32928,primer-cosmos-east,4.4581003,24.236887034099386,-2.067207118550794,-7.586639135126134,0.08829622998359364
40209,primer-cosmos-east,5.4609075,25.980082935293957,-2.237295850634407,-8.35866726601678,0.09623145359555867
40642,primer-cosmos-east,4.63434,26.132053169719498,-1.114390643387118,-8.447615589032958,0.09940246644881638
40799,primer-cosmos-east,7.681151,25.962975547352496,-2.636246792682151,-8.110750171066444,0.07290880432892984
42464,primer-cosmos-east,5.3674827,24.017739240846122,-1.9709543275717643,-7.649157294938425,0.10496168627510784
43445,primer-cosmos-east,5.696871,27.504867280106133,-1.4569870278141153,-9.35454781178437,0.15007226935186785
45179,primer-cosmos-east,7.1054926,25.42204601539975,-2.113409036570644,-7.716895655882686,0.05943450155455832
47824,primer-cosmos-east,5.655495,25.212747938887166,-1.7423185493606503,-8.121114735926563,0.10423361021977952
48498,primer-cosmos-east,4.453304,26.68916036391668,-1.8825565914262192,-9.200942721903173,0.1830793189388025
48540,primer-cosmos-east,5.656249,26.410844225755696,-2.070374757185178,-8.78995914599803,0.12966140636657603
50325,primer-cosmos-east,6.427699,25.81241952987831,-1.0793166409506654,-8.59221297583656,0.13602620503510834
50988,primer-cosmos-east,4.526494,23.75155237751692,-2.464689882740121,-7.606218991393311,0.11292731964664192
51514,primer-cosmos-east,4.43674,24.18628498004512,-2.1402891151975254,-7.678317892693772,0.10043890060929056
51855,primer-cosmos-east,4.651201,24.52415423414373,-1.4796353522030365,-7.758228485104551,0.09425044203453029
52084,primer-cosmos-east,7.07561,24.325161117538293,-2.985384582007786,-7.218471148052858,0.05548854672022613
52124,primer-cosmos-east,4.833804,24.78616761537633,-1.892944142917571,-8.25068505436108,0.1472682086334743
54661,primer-cosmos-east,5.667634,25.90686108720861,-1.4407597917106898,-8.534942041290874,0.1219266954000634
55423,primer-cosmos-east,5.408047,24.39679380782222,-2.9758994998250508,-7.655063336852587,0.08875092882326122
344,primer-uds-south,7.1353946,25.579459667132383,-2.4571519964961723,-8.188271447288763,0.09511385632924763
2480,primer-uds-south,4.684057,26.125649424620853,-1.4693322940615055,-8.901893947099646,0.16819655201304698
4620,primer-uds-south,5.7462945,24.686783125762545,-2.072944614050499,-7.692548368911151,0.08108071303865651
7830,primer-uds-south,5.5453625,25.794540652815666,-1.8016906801412134,-8.547473607654725,0.13026527878616762
9104,primer-uds-south,6.0930605,25.776097767431192,-1.909969993354789,-8.363990242001444,0.10635932378958099
