id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
54661,primer-cosmos-east,Silver,5.667634,7,3.769675,121.926695,0.056615,33.374303,33.974567,-0.600264,-3.001319,Neutral
55423,primer-cosmos-east,Silver,5.408047,7,15.501003,88.750929,0.050804,105.822665,117.318025,-11.495361,-57.476803,Null wins
344,primer-uds-south,Silver,7.135395,7,9.613041,95.113856,0.095213,15.246581,16.057870,-0.811288,-4.056442,Neutral
4620,primer-uds-south,Silver,5.746295,7,6.748043,81.080713,0.058437,114.804360,118.039150,-3.234790,-16.173951,Null wins
7830,primer-uds-south,Silver,5.545363,7,5.256253,130.265279,0.053840,16.300951,17.036377,-0.735426,-3.677130,Neutral
9104,primer-uds-south,Silver,6.093060,7,5.807484,106.359324,0.066801,26.762649,27.462089,-0.699440,-3.497201,Neutral
9791,primer-uds-south,Silver,5.027775,7,8.421632,111.888044,0.042853,15.058306,15.809285,-0.750979,-3.754895,Neutral
11501,primer-uds-south,Silver,4.679972,7,5.964867,86.791556,0.036176,425.843254,435.485767,-9.642513,-48.212565,Null wins
17986,primer-uds-south,Silver,4.940114,7,7.113203,70.423266,0.041116,541.751210,542.749725,-0.998516,-4.992579,Neutral
21488,primer-uds-south,Silver,5.413992,7,12.377087,69.835857,0.050934,2949.221527,3034.644695,-85.423168,-427.115842,Null wins
22358,primer-uds-south,Silver,4.676495,7,2.643395,105.992134,0.036113,71.391079,71.074951,0.316128,1.580642,Weak
28931,primer-uds-south,Silver,7.904730,7,11.871415,64.036521,0.119366,293.712583,170.234823,123.477760,617.388800,Weak
29392,primer-uds-south,Silver,7.470963,7,8.009320,99.150019,0.105411,10.385379,11.525573,-1.140194,-5.700969,Null wins
30157,primer-uds-south,Silver,4.726915,7,3.387458,140.708854,0.037044,23.966101,23.649824,0.316277,1.581385,Weak
30191,primer-uds-south,Silver,4.036579,7,6.092530,143.980421,0.025375,20.690002,20.657413,0.032590,0.162948,Weak
30520,primer-uds-south,Silver,5.349781,7,4.027973,125.414661,0.049542,3.956925,4.119182,-0.162257,-0.811287,Neutral
32880,primer-uds-south,Silver,4.755956,7,8.175512,103.412191,0.037586,182.931964,180.240863,2.691101,13.455504,Weak
