id,field,ra,dec,f090w_flux,f090w_fluxerr,f105w_flux,f105w_fluxerr,f115w_flux,f115w_fluxerr,f115wn_flux,f115wn_fluxerr,f125w_flux,f125w_fluxerr,f140w_flux,f140w_fluxerr,f150w_flux,f150w_fluxerr,f150wn_flux,f150wn_fluxerr,f160w_flux,f160w_fluxerr,f200w_flux,f200w_fluxerr,f200wn_flux,f200wn_fluxerr,f277w_flux,f277w_fluxerr,f356w_flux,f356w_fluxerr,f410m_flux,f410m_fluxerr,f435w_flux,f435w_fluxerr,f444w_flux,f444w_fluxerr,f475w_flux,f475w_fluxerr,f606w_flux,f606w_fluxerr,f775w_flux,f775w_fluxerr,f814w_flux,f814w_fluxerr,f606wu_flux,f606wu_fluxerr,f850lp_flux,f850lp_fluxerr,f110w_flux,f110w_fluxerr,f182m_flux,f182m_fluxerr,f210m_flux,f210m_fluxerr,f150w2-f162m_flux,f150w2-f162m_fluxerr,f250m_flux,f250m_fluxerr,f300m_flux,f300m_fluxerr,f335m_flux,f335m_fluxerr,f350lpu_flux,f350lpu_fluxerr,f430m_flux,f430m_fluxerr,f460m_flux,f460m_fluxerr,f480m_flux,f480m_fluxerr,f814wu_flux,f814wu_fluxerr,f850lpu_flux,f850lpu_fluxerr,z_phot,z_phot16,z_phot84,av,av_err,lbol,lbol_err,muv,muv_err,r_eff_16_pix,r_eff_50_pix,r_eff_84_pix,r_eff_16_phys,r_eff_50_phys,r_eff_84_phys
14419,primer-uds-north,34.39917769351939,-5.184322969859979,0.019905254755839215,0.006245737156512703,0.029106341878753602,0.01046830579989188,0.03778579447485963,0.006051799420768902,,,0.01990023334933439,0.012575807827261802,0.0101346176433586,0.0155152668064013,0.024432717128994353,0.0048818152737366335,,,0.016257236725191127,0.01054241355728311,0.05482132441572919,0.003987937526044773,,,0.2190840430247426,0.003008086385223565,0.20786131516003367,0.0028861945617781742,0.22629241818072857,0.00508766401041706,-0.019387860342648715,0.009034085453627648,0.254808978040208,0.0041194501148164265,,,0.006582172182025257,0.005451473021658331,-99.0,-99.0,0.023169327290581108,0.005830254937680969,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8167844,4.742775,5.0839877,0.9,0.18336306126076185,44.527445141435194,0.3063190307946703,-17.843655823805097,0.14492590734337618,0.31935078263282773,0.3962205946445465,0.5287037897109985,81.70248692768344,101.36880732697259,135.26321780505685
15257,primer-uds-north,34.431864205539185,-5.182779988252042,0.007839848851950812,0.006501555642245643,-99.0,-99.0,0.02634416417509542,0.00636851854249394,,,0.018577285526301262,0.015609618398426537,-0.049270594399781036,0.02711232892034856,0.033629146736266824,0.00533703758028322,,,0.0431443702809185,0.013589048395510828,0.04338185205420668,0.00426163239816228,,,0.07094948461513365,0.003157813276414758,0.15282462513109543,0.003168436194359894,0.23589556235260675,0.005685355039689571,-0.017945789241228995,0.015692787357759846,0.1723695928191372,0.004526510427792933,,,0.0019945592440729046,0.0073433752857065574,-99.0,-99.0,0.0262285247814949,0.006722435530443651,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9201365,5.4584985,6.984527,1.3,0.1957361638427766,45.176160720308175,0.14818892238488618,-18.846641969673545,0.19573616384277592,0.3529858934879303,0.45777156949043274,0.6348810386657714,74.3004362781474,96.35690251750647,133.636893223902
16999,primer-uds-north,34.508057817800164,-5.1800837790157175,0.07507781414003396,0.012428027403333434,0.1130826850453699,0.015030535035009049,0.07516939683939983,0.01145754405776624,,,0.07752648434828632,0.016729562307110927,-99.0,-99.0,0.09052095810536874,0.00965355718202795,,,0.08382109217659908,0.02495533597087213,0.3749237818291523,0.007937532057417448,,,0.9573615588557461,0.004955337671227676,1.1877713846556028,0.004854291749594222,1.395038222807824,0.007883507082713393,-99.0,-99.0,1.4105353313904372,0.00665727584198052,,,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2059326,4.036469,4.3561344,1.1,0.146419723349291,45.218479343601494,0.15247919795037418,-18.413364601496873,0.10798256943190587,0.38056415915489195,0.4540182501077652,0.5687653851509095,103.5848531309427,123.57814740257558,154.81089711036623
18804,primer-uds-north,34.363515044768505,-5.176963791951121,0.07539997082994239,0.004128951630045247,-99.0,-99.0,0.08316367557634165,0.003976212068141963,,,0.08332018169953818,0.014319811442736887,0.030036522710811923,0.02533832390946836,0.08915412229512437,0.0033165966158298283,,,0.053978259217258316,0.012130094897518436,0.15014150596585174,0.0028421079251323557,,,0.34086139347179445,0.002460461148050239,0.5875086996007753,0.0026986245010303346,0.5473428191170134,0.003982435881441541,0.025516511077506066,0.010048113099666007,0.6404656302606717,0.003461704673355505,,,0.04236059121272276,0.005052016745997388,-99.0,-99.0,0.08414925869706527,0.004911163036938107,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3172913,4.0484204,4.3846164,1.5,0.11028558243258868,45.080679388561705,0.37870619239598313,-19.21290064350012,0.07184842851520479,0.352542781829834,0.38691650331020355,0.42599753618240355,94.8678140164811,104.11764122760248,114.6341865922482
18892,primer-uds-north,34.268908020655076,-5.176721823124139,0.023440445736127705,0.006490573800527836,-99.0,-99.0,0.017096144716697875,0.006306143748290354,,,0.012295243173602644,0.012564242497423078,0.006905259240590183,0.014896491974195769,0.017851149454191355,0.005129890730482671,,,0.003099603274149155,0.010973875083926339,0.032210946869737814,0.00418592913372245,,,0.11464731344712627,0.003046967249601649,0.19347837887203498,0.002934636452689179,0.17314698307754714,0.0054960530733534525,0.00667165638275423,0.007626582120328551,0.20950881109091862,0.004460232269102111,,,0.0012082315697800764,0.006109215510358418,-99.0,-99.0,0.021830464251483203,0.005338018801693394,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.729469,4.5304947,4.7732325,1.0,0.12359760625543431,44.431549491761906,0.16550778616710235,-17.341007529473167,0.08516045233804981,0.2893921387195587,0.350668340921402,0.47960988044738767,74.68736522683268,90.50174813927704,123.77944496303151
19416,primer-uds-north,34.46076321349001,-5.175813201579843,0.021454007020076903,0.004704140970900573,-99.0,-99.0,0.02733474739234052,0.0043374554760770845,,,0.036697852168717605,0.014597770149563555,0.028894346744841124,0.023536825247686525,0.03108445766957198,0.0035676831862156673,,,0.007898367323683483,0.012388867191882886,0.02313705113228187,0.0029445535093919947,,,0.041261304216629366,0.002589510135491746,0.08324348005215337,0.002577626996597023,0.152492864552497,0.004734132533580158,-99.0,-99.0,0.11082000521953783,0.0037646574039185998,,,0.006690051932000028,0.005926416946613251,-99.0,-99.0,0.03302008177521652,0.006331249919674178,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.433182,5.3762856,5.471845,1.9000000000000001,0.14894913326237735,44.78734231080007,0.3055402834906856,-18.32210220195416,0.11051197934499335,0.5308053541183472,0.6963382065296173,0.9171543288230896,127.85445032256146,167.72615035565858,220.91386543642395
21108,primer-uds-north,34.36296344400555,-5.17319980462139,0.005108638487146327,0.0036540459815937046,-99.0,-99.0,0.00830099861523196,0.0035336369138729814,,,0.02979292573727834,0.013383380263692558,0.00982138249613524,0.02276634454579997,0.014399630191427686,0.0029172639880207497,,,0.004290668890392911,0.0111189699565841,0.01741374514686347,0.002434747103006741,,,0.034106925958629936,0.0018393372230112197,0.0746430857510208,0.0017898806342198368,0.25137705395117077,0.003461784941293352,0.010305456534300358,0.009684430939717105,0.17082018681657513,0.0027425497052898837,,,-0.0021057917708752474,0.0043112387197377835,-99.0,-99.0,0.010057239567424226,0.00443858719628122,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1364045,7.1396646,8.938638,2.6,0.3240013007666982,45.80187686424168,0.17280339158738003,-18.093206991564905,0.2855641468493122,0.3190207898616791,0.3934464752674103,0.5120882964134216,65.92959442468965,81.31058340571161,105.82938405614745
22773,primer-uds-north,34.43898594228325,-5.170543086397919,0.054101739297999656,0.006391702877872479,-99.0,-99.0,0.060342320840373456,0.006254300003323665,,,0.03834742830097521,0.012417970935942785,0.036187113819001436,0.02137732299132036,0.06657450500418284,0.005097296937668888,,,0.04693872414878625,0.010905613799299878,0.06921147511056494,0.004200119226239513,,,0.202902920729903,0.002649635925914205,0.2969085510338337,0.0026631885057011137,0.25992816711481376,0.004585392631813458,-99.0,-99.0,0.3044200542439161,0.0036773081641409576,,,0.029879877629792707,0.005333559473826179,-99.0,-99.0,0.05805947520989845,0.005264700412621177,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.401274,4.3050737,4.6128063,1.3,0.1724104790739479,44.71586032302294,0.16063119797686437,-18.878715129649372,0.13397332515656224,0.3177760851383209,0.3820186257362366,0.4865351545810699,84.78156338194663,101.92125161603352,129.80590099379353
23575,primer-uds-north,34.408019900593665,-5.16914658540713,0.023330942667986958,0.00813184462135452,0.028659283711404714,0.010838202751761407,0.008713263957096287,0.0076686065727678875,,,0.023872073211377444,0.012909461431926908,0.006789100034568391,0.023776587666432602,0.024695095315796372,0.006420266616352913,,,0.035378924557175145,0.011063594590341322,0.019295100299376894,0.005435889632505053,,,0.0506783025017729,0.0030084379791660695,0.18770611399321127,0.0029059847016829443,0.13028406769156486,0.005291924800053294,0.0011392868699685802,0.009704393622227426,0.27687955777005174,0.004577880903610406,,,0.009973360999828552,0.00703391025608504,-99.0,-99.0,0.027296615740440518,0.006516057244686918,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6605954,5.6489077,5.6829195,2.0,0.15324793629212718,45.11678358123938,0.3203843386277109,-18.19893992381785,0.11481078237474307,0.3198732388019562,0.40526655316352844,0.5847583770751953,75.4006430077297,95.52958794710351,137.83946978735673
24081,primer-uds-north,34.34620665884841,-5.168197042479149,0.016452712798728036,0.004621786797399522,-99.0,-99.0,0.025773807671117702,0.004352766058423754,,,0.030254851970849345,0.012231159910566027,0.0073167248496248645,0.020485792355527385,0.03589762244834377,0.0035310976659251965,,,0.04634751284610456,0.010414581958959182,0.03846233310218252,0.0029091009417626743,,,0.07076313647051613,0.002709229935905325,0.16034583099369704,0.002630337960587364,0.1754208087329426,0.00499868403855792,0.009963501372901626,0.009116639688198291,0.3322097171981511,0.0041841907751334,,,0.007395201040719919,0.006746982915229393,-99.0,-99.0,0.0030432866430449663,0.006243544062509847,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6564054,5.6350102,5.679735,1.8,0.1520052964619445,45.12505477427064,0.2655499932708498,-18.423810857378186,0.11356814254455827,0.2805519199371338,0.32671914994716644,0.42259912252426146,66.15792460976571,77.0447797884074,99.65456980076321
