rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
36,III,306.6715,28748,47021,A,A,ceers-full,ceers-full,True,4.753,8.0231,3.2701,-3.889,-5.003,1.114,54,234,-2.524,-1.44,-1.084,10.224,3.767,1.3,0.9,0.4,1.89,0.0314,True,True
37,III,306.572,56783,61010,A,A,primer-uds-north,primer-uds-north,True,5.3134,7.1342,1.8208,-4.576,-5.287,0.712,169,273,-3.33,-1.572,-1.758,21.479,4.253,1.8,1.0,0.8,0.44,0.0074,True,True
38,III,306.028,61378,67270,A,A,primer-uds-north,primer-uds-north,True,7.4583,5.6651,1.7932,-5.262,-4.106,1.156,267,84,-1.003,-2.492,1.489,2.52,9.928,2.2,1.3,0.9,0.97,0.0161,True,True
39,III,305.685,46085,52856,A,A,primer-uds-north,primer-uds-north,True,4.7858,6.3209,1.535,-3.966,-5.287,1.322,61,272,-1.958,-0.498,-1.46,6.071,1.582,1.3,0.0,1.3,4.11,0.0684,True,True
40,III,304.79549999999995,35367,52017,A,A,gds,gds,True,5.4895,6.3311,0.8417,-3.899,-5.333,1.434,56,278,-3.012,-1.429,-1.583,16.019,3.729,2.3000000000000003,-99.0,101.3,2.15,0.0359,True,True
41,III,304.1905,44053,52856,A,A,primer-uds-north,primer-uds-north,True,5.4381,6.3209,0.8827,-4.897,-5.287,0.39,222,272,-2.683,-0.498,-2.185,11.832,1.582,2.5,0.0,2.5,3.7,0.0617,True,True
42,III,303.9995,14487,16563,A,A,primer-cosmos-east,primer-cosmos-east,True,7.1693,5.022,2.1473,-5.535,-4.017,1.518,288,70,-1.641,-2.766,1.125,4.531,12.775,2.0,1.8,0.2,0.77,0.0128,True,True
43,III,303.751,36985,47021,A,A,ceers-full,ceers-full,True,5.6537,8.0231,2.3694,-4.161,-5.003,0.842,97,234,-2.899,-1.44,-1.459,14.441,3.767,2.0,0.9,1.1,4.2,0.0699,True,True
44,III,303.0955,17986,55634,A,A,primer-uds-south,primer-uds-south,True,4.9401,6.8798,1.9397,-3.587,-4.423,0.835,43,127,-2.13,-0.551,-1.579,7.113,1.661,0.9,0.1,0.8,3.99,0.0664,True,True
45,III,302.32849999999996,20632,47021,A,A,ceers-full,ceers-full,True,5.6531,8.0231,2.3699,-4.107,-5.003,0.896,85,234,-2.838,-1.44,-1.398,13.655,3.767,2.0,0.9,1.1,3.82,0.0636,True,True
46,III,301.029,42093,67137,A,A,ceers-full,ceers-full,True,6.4459,7.4965,1.0506,-3.857,-4.25,0.394,52,108,-3.058,-0.488,-2.569,16.711,1.568,1.7000000000000002,3.9,-2.2,3.6,0.06,True,True
47,III,300.9735,13074,18540,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2148,8.9337,3.7189,-3.796,-4.869,1.073,46,219,-2.885,-2.025,-0.86,14.255,6.458,2.5,1.7000000000000002,0.8,1.61,0.0269,True,True
48,III,300.8845,33774,56783,A,A,primer-uds-north,primer-uds-north,True,7.1376,5.3134,1.8243,-5.07,-4.576,0.494,241,169,-1.556,-3.33,1.774,4.193,21.479,2.9000000000000004,1.8,1.1,2.92,0.0486,True,True
49,III,300.7655,3099,14605,A,A,gds,gds,True,5.4584,6.9281,1.4697,-4.466,-4.925,0.459,134,223,-2.642,-0.742,-1.899,11.392,1.981,2.7,2.5,0.2,2.61,0.0435,True,True
50,III_weak,300.71799999999996,16083,27072,A,A,primer-cosmos-east,primer-cosmos-east,True,4.5779,4.9571,0.3792,-4.498,-2.262,2.236,142,37,-2.059,0.1,-2.159,6.663,0.912,1.0,0.0,1.0,4.54,0.0757,True,False
51,III,300.39700000000005,52141,68006,A,A,primer-uds-north,primer-uds-north,True,7.1301,5.1603,1.9698,-4.607,-3.797,0.81,179,47,-1.557,-3.087,1.531,4.194,17.174,3.0,1.4,1.6,1.79,0.0298,True,True
52,III,300.363,20010,71380,A,A,ceers-full,ceers-full,True,8.9344,7.1263,1.8082,-4.968,-3.934,1.033,228,58,-1.495,-2.94,1.445,3.964,14.996,3.7,3.4000000000000004,0.3,4.97,0.0828,True,True
53,III,299.0145,52856,61298,A,A,primer-uds-north,primer-uds-north,True,6.3209,5.2426,1.0783,-5.287,-4.394,0.893,272,124,-0.498,-2.719,2.221,1.582,12.237,0.0,1.6,-1.6,0.99,0.0165,True,True
54,III,298.945,24100,52856,A,A,primer-uds-north,primer-uds-north,True,4.9919,6.3209,1.329,-4.26,-5.287,1.027,111,272,-2.062,-0.498,-1.564,6.681,1.582,1.3,0.0,1.3,4.35,0.0725,True,True
55,III,298.7825,28748,67137,A,A,ceers-full,ceers-full,True,4.753,7.4965,2.7435,-3.889,-4.25,0.361,54,108,-2.524,-0.488,-2.036,10.224,1.568,1.3,3.9,-2.6,4.18,0.0697,True,True
56,III_weak,297.7945,16408,27072,A,A,primer-cosmos-east,primer-cosmos-east,True,4.5749,4.9571,0.3823,-4.505,-2.262,2.242,144,37,-1.996,0.1,-2.096,6.287,0.912,1.1,0.0,1.1,4.23,0.0706,True,False
57,III,296.31399999999996,18540,21037,A,A,primer-cosmos-west,primer-cosmos-west,True,8.9337,4.4761,4.4576,-4.869,-4.619,0.25,219,181,-2.025,-3.064,1.039,6.458,16.813,1.7000000000000002,0.7000000000000001,1.0,1.15,0.0192,True,True
58,III,295.524,20897,40589,A,A,ceers-full,ceers-full,True,4.5331,8.0067,3.4736,-3.869,-4.478,0.609,53,140,-3.669,-2.066,-1.603,29.349,6.703,1.3,3.3000000000000003,-2.0,4.42,0.0737,True,True
59,III,295.334,8118,13074,A,A,primer-cosmos-west,primer-cosmos-west,True,5.6424,5.2148,0.4276,-5.08,-3.796,1.284,248,46,-1.277,-2.885,1.608,3.242,14.255,3.9,2.5,1.4,2.2,0.0367,True,True
60,III,293.949,8559,16999,A,A,primer-uds-north,primer-uds-north,True,7.9365,4.2059,3.7306,-4.517,-4.034,0.483,145,72,-1.912,-2.982,1.07,5.818,15.582,3.9,1.1,2.8,2.71,0.0451,True,True
61,III,293.75399999999996,16999,54143,A,A,primer-uds-north,primer-uds-north,True,4.2059,4.7315,0.5256,-4.034,-5.073,1.039,72,243,-2.982,-1.287,-1.694,15.582,3.272,1.1,0.9,0.2,4.4,0.0734,True,True
62,III,293.53650000000005,41913,59162,A,A,ceers-full,ceers-full,True,5.246,7.8411,2.5951,-3.38,-4.082,0.702,39,80,-3.476,-1.705,-1.771,24.568,4.808,2.3000000000000003,3.9,-1.6,2.97,0.0494,True,True
63,III,292.63149999999996,13736,47021,A,A,ceers-full,ceers-full,True,5.357,8.0231,2.6661,-4.06,-5.003,0.943,77,234,-2.527,-1.44,-1.087,10.254,3.767,1.4,0.9,0.5,2.89,0.0482,True,True
64,III,291.97299999999996,15257,16999,A,A,primer-uds-north,primer-uds-north,True,6.9201,4.2059,2.7142,-4.731,-4.034,0.697,201,72,-1.774,-2.982,1.207,5.126,15.582,1.3,1.1,0.2,4.56,0.0759,True,True
65,III,291.79499999999996,48927,66007,A,A,primer-uds-north,primer-uds-north,True,7.9073,4.5963,3.311,-5.073,-4.557,0.516,242,163,-1.601,-2.733,1.133,4.368,12.397,2.8000000000000003,0.7000000000000001,2.1,3.44,0.0573,True,True
66,III,290.67449999999997,8118,21037,A,A,primer-cosmos-west,primer-cosmos-west,True,5.6424,4.4761,1.1663,-5.08,-4.619,0.461,248,181,-1.277,-3.064,1.787,3.242,16.813,3.9,0.7000000000000001,3.2,3.95,0.0658,True,True
67,III,289.86400000000003,48927,70423,A,A,primer-uds-north,primer-uds-north,True,7.9073,5.4777,2.4296,-5.073,-4.663,0.409,242,186,-1.601,-3.024,1.423,4.368,16.198,2.8000000000000003,0.6000000000000001,2.2,3.88,0.0646,True,True
68,III,289.80649999999997,36886,47021,A,A,ceers-full,ceers-full,True,4.4499,8.0231,3.5731,-4.236,-5.003,0.767,105,234,-2.303,-1.44,-0.864,8.344,3.767,1.3,0.9,0.4,4.21,0.0701,True,True
69,III,289.37350000000004,52581,55634,A,A,primer-uds-south,primer-uds-south,True,6.167,6.8798,0.7129,-4.052,-4.423,0.371,74,127,-2.502,-0.551,-1.951,10.017,1.661,1.3,0.1,1.2,2.01,0.0336,True,True
