rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
758,I,175.3535,28931,30520,A,A,primer-uds-south,primer-uds-south,True,7.9047,5.3498,2.5549,-3.918,-5.029,1.111,57,237,-2.686,-1.513,-1.174,11.871,4.028,2.8000000000000003,0.9,1.9,4.38,0.073,False,False
759,III_weak,174.83849999999998,1381,8559,A,A,primer-uds-north,primer-uds-north,True,5.6626,7.9365,2.2739,-5.288,-4.517,0.771,274,145,-2.364,-1.912,-0.452,8.826,5.818,3.1,3.9,-0.8,1.68,0.0281,True,False
760,III_weak,174.695,22379,31319,A,A,primer-cosmos-west,primer-cosmos-west,True,5.7349,6.3339,0.599,-4.828,-4.541,0.287,212,155,-2.572,-1.33,-1.242,10.687,3.404,0.9,2.8000000000000003,-1.9,3.06,0.0509,True,False
761,III_weak,174.59699999999998,59162,71321,A,A,ceers-full,ceers-full,True,7.8411,7.1293,0.7118,-4.082,-4.476,0.394,80,139,-1.705,-2.347,0.642,4.808,8.687,3.9,1.9,2.0,1.84,0.0307,True,False
762,I,174.51549999999997,33898,52581,A,A,primer-uds-south,primer-uds-south,True,4.5453,6.167,1.6217,-5.24,-4.052,1.188,264,74,-1.111,-2.502,1.391,2.782,10.017,1.2000000000000002,1.3,-0.1,3.58,0.0596,False,False
763,I,174.382,29110,33332,A,A,primer-uds-north,primer-uds-north,True,7.1288,4.542,2.5868,-4.845,-5.076,0.231,216,246,-2.856,-1.182,-1.673,13.874,2.971,2.4000000000000004,0.8,1.6,1.31,0.0219,False,False
764,III_weak,174.2455,59880,67076,A,A,primer-uds-south,primer-uds-south,True,5.6631,7.9368,2.2737,-5.281,-4.528,0.753,270,149,-2.36,-1.909,-0.451,8.792,5.804,3.2,3.9,-0.7,1.68,0.0281,True,False
765,I,173.9955,21108,32986,A,A,primer-uds-north,primer-uds-north,True,7.1364,4.1527,2.9837,-4.588,-5.021,0.433,171,236,-2.685,-1.26,-1.425,11.863,3.192,2.6,0.0,2.6,3.14,0.0523,False,False
766,I,173.706,21108,33332,A,A,primer-uds-north,primer-uds-north,True,7.1364,4.542,2.5944,-4.588,-5.076,0.488,171,246,-2.685,-1.182,-1.503,11.863,2.971,2.6,0.8,1.8,2.8,0.0466,False,False
767,I,173.55599999999998,17986,33445,A,A,primer-uds-south,primer-uds-south,True,4.9401,4.3458,0.5944,-3.587,-5.25,1.663,43,266,-2.13,-0.735,-1.395,7.113,1.968,0.9,0.0,0.9,4.45,0.0742,False,False
768,I,173.49550000000002,40642,55423,A,A,primer-cosmos-east,primer-cosmos-east,True,4.6343,5.408,0.7737,-4.888,-4.095,0.793,221,82,-1.114,-2.976,1.862,2.791,15.501,0.8,1.4,-0.6,4.86,0.081,False,False
769,I,173.4815,45202,52017,A,A,gds,gds,True,7.1313,6.3311,0.8001,-4.571,-5.333,0.761,167,278,-3.302,-1.429,-1.873,20.926,3.729,2.8000000000000003,-99.0,101.8,2.25,0.0375,False,False
770,I,172.8895,1544,29110,A,A,primer-uds-north,primer-uds-north,True,5.4635,7.1288,1.6653,-5.142,-4.845,0.297,252,216,-0.976,-2.856,1.88,2.456,13.874,1.0,2.4000000000000004,-1.4,4.16,0.0694,False,False
771,I,172.86599999999999,51855,52084,A,A,primer-cosmos-east,primer-cosmos-east,True,4.6512,7.0756,2.4244,-4.198,-3.658,0.54,101,45,-1.48,-2.985,1.506,3.907,15.637,0.7000000000000001,1.6,-0.9,0.6,0.01,False,False
772,I,172.79999999999998,41129,64049,A,A,gds,gds,True,7.1334,5.2713,1.862,-4.56,-5.079,0.519,165,247,-3.781,-2.095,-1.686,32.541,6.884,3.5,-99.0,102.5,4.54,0.0757,False,False
773,III_weak,172.722,43445,50325,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6969,6.4277,0.7308,-5.795,-5.032,0.762,295,238,-1.457,-1.079,-0.378,3.826,2.702,0.5,0.1,0.4,2.64,0.044,True,False
774,I,172.7015,50716,59971,A,A,primer-uds-south,primer-uds-south,True,7.8636,5.3915,2.4721,-4.548,-5.268,0.719,157,268,-2.779,-1.398,-1.381,12.935,3.624,2.7,0.9,1.8,3.32,0.0553,False,False
775,III_weak,172.58100000000002,29106,31581,A,A,primer-uds-north,primer-uds-north,True,5.2048,4.1634,1.0414,-4.528,-5.06,0.532,150,240,-1.936,-2.356,0.42,5.948,8.757,1.1,0.0,1.1,2.28,0.0381,True,False
776,I,172.2135,1544,21108,A,A,primer-uds-north,primer-uds-north,True,5.4635,7.1364,1.6729,-5.142,-4.588,0.554,252,171,-0.976,-2.685,1.71,2.456,11.863,1.0,2.6,-1.6,2.32,0.0386,False,False
777,I,171.6495,29303,45202,A,A,gds,gds,True,5.986,7.1313,1.1453,-5.076,-4.571,0.504,245,167,-1.415,-3.302,1.887,3.681,20.926,2.0,2.8000000000000003,-0.8,1.92,0.0319,False,False
778,I_conflict,171.3635,29110,46085,A,A,primer-uds-north,primer-uds-north,True,7.1288,4.7858,2.3429,-4.845,-3.966,0.879,216,61,-2.856,-1.958,-0.897,13.874,6.071,2.4000000000000004,1.3,1.1,2.35,0.0392,False,True
779,I,171.1325,48686,69772,A,A,primer-uds-south,primer-uds-south,True,4.8439,5.4294,0.5855,-5.657,-3.832,1.825,294,50,-1.285,-2.537,1.252,3.267,10.35,0.3,2.7,-2.4,2.83,0.0472,False,False
780,III_weak,171.0975,24100,31581,A,A,primer-uds-north,primer-uds-north,True,4.9919,4.1634,0.8285,-4.26,-5.06,0.799,111,240,-2.062,-2.356,0.294,6.681,8.757,1.3,0.0,1.3,4.44,0.0741,True,False
781,I,171.0345,40799,43445,A,A,primer-cosmos-east,primer-cosmos-east,True,7.6812,5.6969,1.9843,-4.551,-5.795,1.244,160,295,-2.636,-1.457,-1.179,11.337,3.826,2.6,0.5,2.1,1.85,0.0309,False,False
782,I_conflict,170.9375,18540,32535,A,A,primer-cosmos-west,primer-cosmos-west,True,8.9337,5.7492,3.1845,-4.869,-4.325,0.544,219,118,-2.025,-1.188,-0.837,6.458,2.987,1.7000000000000002,0.6000000000000001,1.1,4.33,0.0722,False,True
783,III_weak,170.929,31581,57469,A,A,primer-uds-north,primer-uds-north,True,4.1634,5.668,1.5046,-5.06,-4.467,0.592,240,135,-2.356,-1.644,-0.712,8.757,4.547,0.0,3.1,-3.1,4.41,0.0735,True,False
784,I,170.792,28500,33230,A,A,primer-cosmos-west,primer-cosmos-west,True,5.429,4.7522,0.6768,-4.306,-5.169,0.863,116,257,-3.01,-1.215,-1.795,15.999,3.062,2.8000000000000003,0.2,2.6,3.13,0.0522,False,False
785,I,170.6715,18537,35367,A,A,gds,gds,True,4.2773,5.4895,1.2121,-4.812,-3.899,0.913,210,56,-1.41,-3.012,1.602,3.665,16.019,1.2000000000000002,2.3000000000000003,-1.1,2.84,0.0473,False,False
786,I,170.565,23571,31668,A,A,primer-cosmos-east,primer-cosmos-east,True,4.7607,5.6077,0.847,-5.17,-3.833,1.337,258,51,-1.232,-2.687,1.455,3.11,11.876,0.2,1.6,-1.4,2.31,0.0385,False,False
787,III_weak,170.195,29392,32880,A,A,primer-uds-south,primer-uds-south,True,7.471,4.756,2.715,-4.543,-4.821,0.279,156,211,-2.259,-2.281,0.022,8.009,8.176,2.2,0.9,1.3,2.38,0.0396,True,False
788,I_conflict,170.1325,17986,50716,A,A,primer-uds-south,primer-uds-south,True,4.9401,7.8636,2.9235,-3.587,-4.548,0.961,43,157,-2.13,-2.779,0.649,7.113,12.935,0.9,2.7,-1.8,4.71,0.0785,False,True
789,I,170.06,30157,52581,A,A,primer-uds-south,primer-uds-south,True,4.7269,6.167,1.44,-5.539,-4.052,1.487,289,74,-1.325,-2.502,1.177,3.387,10.017,0.2,1.3,-1.1,3.75,0.0626,False,False
790,I,170.006,1072,42014,A,A,primer-uds-north,primer-uds-north,True,8.906,4.5516,4.3544,-4.592,-5.575,0.983,174,291,-2.385,-1.78,-0.604,8.992,5.153,2.7,0.3,2.4,4.31,0.0719,False,False
791,III_weak,169.948,21943,26971,A,A,primer-cosmos-east,primer-cosmos-east,True,4.7155,6.4067,1.6912,-5.049,-4.718,0.331,239,198,-1.888,-1.596,-0.293,5.692,4.347,0.8,0.5,0.3,2.39,0.0399,True,False
792,I,169.8835,7991,29106,A,A,primer-uds-north,primer-uds-north,True,5.6557,5.2048,0.4509,-4.123,-4.528,0.404,91,150,-4.056,-1.936,-2.12,41.912,5.948,2.4000000000000004,1.1,1.3,3.18,0.0531,False,False
793,III_weak,169.8615,54603,69936,A,A,primer-uds-north,primer-uds-north,True,5.6519,7.034,1.3821,-5.075,-4.529,0.546,244,151,-1.647,-1.392,-0.255,4.56,3.605,2.5,2.1,0.4,3.35,0.0559,True,False
794,I,169.851,31668,40642,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6077,4.6343,0.9734,-3.833,-4.888,1.055,51,221,-2.687,-1.114,-1.572,11.876,2.791,1.6,0.8,0.8,3.19,0.0532,False,False
795,I,169.8435,18893,27765,A,A,primer-cosmos-east,primer-cosmos-east,True,4.8477,5.1726,0.3249,-5.582,-4.457,1.124,292,133,-0.496,-2.222,1.725,1.58,7.74,0.1,2.2,-2.1,2.62,0.0436,False,False
796,III_weak,169.82999999999998,16152,29568,A,A,primer-cosmos-west,primer-cosmos-west,True,5.7144,4.3603,1.354,-4.723,-4.937,0.214,199,224,-1.236,-2.198,0.962,3.122,7.57,0.0,0.4,-0.4,4.15,0.0691,True,False
797,I,169.78900000000002,3992,32986,A,A,primer-uds-north,primer-uds-north,True,5.6593,4.1527,1.5066,-4.053,-5.021,0.968,75,236,-2.723,-1.26,-1.463,12.278,3.192,1.6,0.0,1.6,4.04,0.0674,False,False
798,III_weak,169.759,22379,22483,A,A,primer-cosmos-west,primer-cosmos-west,True,5.7349,7.1355,1.4006,-4.828,-4.222,0.605,212,102,-2.572,-1.86,-0.712,10.687,5.548,0.9,2.7,-1.8,2.15,0.0358,True,False
799,I,169.67000000000002,10696,18893,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6678,4.8477,0.82,-4.703,-5.582,0.879,191,292,-2.216,-0.496,-1.72,7.701,1.58,1.2000000000000002,0.1,1.1,3.47,0.0579,False,False
800,I,169.50099999999998,3992,33332,A,A,primer-uds-north,primer-uds-north,True,5.6593,4.542,1.1174,-4.053,-5.076,1.023,75,246,-2.723,-1.182,-1.541,12.278,2.971,1.6,0.8,0.8,3.83,0.0638,False,False
801,III,169.29250000000002,47165,53626,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2338,5.6552,0.4215,-4.313,-4.572,0.259,117,168,-1.957,-1.753,-0.204,6.063,5.024,2.3000000000000003,2.7,-0.4,4.14,0.069,True,True
802,III_weak,169.28449999999998,44435,59568,A,A,primer-uds-south,primer-uds-south,True,5.1733,8.9016,3.7283,-4.854,-4.592,0.262,217,173,-2.591,-2.381,-0.21,10.873,8.958,1.1,2.7,-1.6,1.72,0.0287,True,False
803,III_weak,169.09449999999998,29303,39509,A,A,gds,gds,True,5.986,4.2877,1.6983,-5.076,-5.284,0.209,245,271,-1.415,-1.762,0.347,3.681,5.066,2.0,0.8,1.2,1.44,0.024,True,False
804,III_weak,168.95999999999998,53667,69936,A,A,primer-uds-north,primer-uds-north,True,4.5639,7.034,2.47,-4.837,-4.529,0.307,215,151,-1.947,-1.392,-0.554,6.008,3.605,0.9,2.1,-1.2,2.39,0.0399,True,False
805,I,168.9115,15850,21943,A,A,primer-cosmos-east,primer-cosmos-east,True,7.0456,4.7155,2.3301,-4.167,-5.049,0.882,99,239,-3.138,-1.888,-1.25,17.999,5.692,3.3000000000000003,0.8,2.5,2.99,0.0498,False,False
806,III_weak,168.6145,12234,19354,A,A,ceers-full,ceers-full,True,6.1422,5.4279,0.7143,-4.0,-4.295,0.295,65,115,-2.028,-2.609,0.581,6.475,11.057,1.7000000000000002,1.6,0.1,0.49,0.0082,True,False
807,I,168.59,49360,55490,A,A,ceers-full,ceers-full,True,4.7373,7.1493,2.412,-4.549,-3.522,1.027,159,40,-1.207,-2.338,1.132,3.039,8.618,0.8,2.7,-1.9,3.19,0.0532,False,False
808,I,167.9775,45383,50716,A,A,primer-uds-south,primer-uds-south,True,4.8552,7.8636,3.0085,-5.144,-4.548,0.595,253,157,-1.58,-2.779,1.2,4.285,12.935,0.9,2.7,-1.8,1.93,0.0322,False,False
809,I,167.3975,30157,69772,A,A,primer-uds-south,primer-uds-south,True,4.7269,5.4294,0.7025,-5.539,-3.832,1.707,289,50,-1.325,-2.537,1.213,3.387,10.35,0.2,2.7,-2.5,4.45,0.0742,False,False
810,I,167.3775,39094,41913,A,A,ceers-full,ceers-full,True,4.7315,5.246,0.5145,-4.252,-3.38,0.872,109,39,-1.706,-3.476,1.77,4.811,24.568,0.8,2.3000000000000003,-1.5,3.92,0.0653,False,False
811,III_weak,167.28449999999998,58630,59162,A,A,ceers-full,ceers-full,True,4.5468,7.8411,3.2943,-4.326,-4.082,0.244,119,80,-2.016,-1.705,-0.311,6.401,4.808,0.9,3.9,-3.0,1.83,0.0305,True,False
812,I,167.19549999999998,29392,33898,A,A,primer-uds-south,primer-uds-south,True,7.471,4.5453,2.9257,-4.543,-5.24,0.697,156,264,-2.259,-1.111,-1.148,8.009,2.782,2.2,1.2000000000000002,1.0,3.76,0.0626,False,False
813,I,167.077,35367,39509,A,A,gds,gds,True,5.4895,4.2877,1.2018,-3.899,-5.284,1.385,56,271,-3.012,-1.762,-1.25,16.019,5.066,2.3000000000000003,0.8,1.5,2.35,0.0392,False,False
814,I_conflict,167.0725,17986,59568,A,A,primer-uds-south,primer-uds-south,True,4.9401,8.9016,3.9615,-3.587,-4.592,1.005,43,173,-2.13,-2.381,0.25,7.113,8.958,0.9,2.7,-1.8,4.46,0.0743,False,True
815,I,167.038,2480,37751,A,A,primer-uds-south,primer-uds-south,True,4.6841,5.3592,0.6752,-5.342,-3.945,1.397,279,59,-1.469,-2.87,1.4,3.87,14.058,0.5,2.1,-1.6,4.03,0.0672,False,False
816,I_conflict,167.00099999999998,29110,32025,A,A,primer-uds-north,primer-uds-north,True,7.1288,4.0433,3.0854,-4.845,-4.381,0.464,216,122,-2.856,-2.02,-0.836,13.874,6.426,2.4000000000000004,0.6000000000000001,1.8,1.61,0.0268,False,True
817,III_weak,166.96550000000002,32535,43505,A,A,primer-cosmos-west,primer-cosmos-west,True,5.7492,4.6755,1.0737,-4.325,-4.762,0.437,118,204,-1.188,-2.043,0.855,2.987,6.564,0.6000000000000001,0.8,-0.2,3.5,0.0584,True,False
818,I,166.9235,28491,33230,A,A,primer-cosmos-west,primer-cosmos-west,True,5.5851,4.7522,0.8329,-4.123,-5.169,1.046,90,257,-2.776,-1.215,-1.561,12.896,3.062,2.0,0.2,1.8,3.39,0.0566,False,False
819,III_weak,166.86200000000002,11219,16999,A,A,primer-uds-north,primer-uds-north,True,5.4287,4.2059,1.2228,-3.83,-4.034,0.204,49,72,-2.534,-2.982,0.448,10.317,15.582,2.7,1.1,1.6,2.29,0.0382,True,False
820,I,166.8125,52856,55902,A,A,primer-uds-north,primer-uds-north,True,6.3209,8.6704,2.3495,-5.287,-4.714,0.574,272,195,-0.498,-1.885,1.387,1.582,5.677,0.0,2.9000000000000004,-2.9,0.95,0.0158,False,False
821,III,166.789,18540,21620,A,A,primer-cosmos-west,primer-cosmos-west,True,8.9337,8.0871,0.8466,-4.869,-4.626,0.243,219,182,-2.025,-2.061,0.036,6.458,6.675,1.7000000000000002,3.7,-2.0,0.9,0.015,True,True
822,III_weak,166.736,11967,26971,A,A,primer-cosmos-east,primer-cosmos-east,True,5.4823,6.4067,0.9244,-5.508,-4.718,0.789,286,198,-1.78,-1.596,-0.184,5.15,4.347,3.1,0.5,2.6,4.72,0.0786,True,False
823,III_weak,166.6175,9104,30191,A,A,primer-uds-south,primer-uds-south,True,6.0931,4.0366,2.0565,-4.804,-5.243,0.439,208,265,-1.91,-1.962,0.052,5.807,6.093,0.7000000000000001,0.0,0.7,2.67,0.0445,True,False
824,I,166.5275,22358,29392,A,A,primer-uds-south,primer-uds-south,True,4.6765,7.471,2.7945,-5.19,-4.543,0.647,259,156,-1.055,-2.259,1.204,2.643,8.009,0.0,2.2,-2.2,0.98,0.0164,False,False
825,I,166.33499999999998,21108,43932,A,A,primer-uds-north,primer-uds-north,True,7.1364,4.2354,2.901,-4.588,-4.802,0.214,171,207,-2.685,-1.257,-1.428,11.863,3.183,2.6,0.5,2.1,2.64,0.044,False,False
826,III_weak,166.2145,12234,36886,A,A,ceers-full,ceers-full,True,6.1422,4.4499,1.6923,-4.0,-4.236,0.236,65,105,-2.028,-2.303,0.275,6.475,8.344,1.7000000000000002,1.3,0.4,2.27,0.0378,True,False
827,I,166.1995,29110,54143,A,A,primer-uds-north,primer-uds-north,True,7.1288,4.7315,2.3973,-4.845,-5.073,0.228,216,243,-2.856,-1.287,-1.568,13.874,3.272,2.4000000000000004,0.9,1.5,3.43,0.0571,False,False
828,III_weak,165.6285,6282,16083,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6738,4.5779,1.0959,-4.11,-4.498,0.388,86,142,-1.708,-2.059,0.351,4.822,6.663,1.8,1.0,0.8,4.81,0.0802,True,False
829,III_weak,165.512,9227,19462,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7139,4.3651,1.3488,-4.724,-4.94,0.216,200,225,-1.243,-2.119,0.876,3.141,7.039,0.0,0.4,-0.4,4.15,0.0691,True,False
830,III_weak,165.168,9227,17813,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7139,5.2267,0.4872,-4.724,-5.11,0.387,200,250,-1.243,-2.268,1.025,3.141,8.076,0.0,1.8,-1.8,3.89,0.0649,True,False
831,III_weak,165.11950000000002,31581,62716,A,A,primer-uds-north,primer-uds-north,True,4.1634,5.3867,1.2233,-5.06,-4.396,0.664,240,125,-2.356,-1.719,-0.637,8.757,4.871,0.0,1.2000000000000002,-1.2,3.45,0.0575,True,False
832,I,165.0575,344,30157,A,A,primer-uds-south,primer-uds-south,True,7.1354,4.7269,2.4085,-4.628,-5.539,0.911,183,289,-2.457,-1.325,-1.132,9.613,3.387,2.5,0.2,2.3,4.45,0.0742,False,False
833,III_weak,165.0035,52581,60446,A,A,primer-uds-south,primer-uds-south,True,6.167,4.3661,1.8009,-4.052,-4.53,0.478,74,152,-2.502,-2.575,0.073,10.017,10.713,1.3,1.2000000000000002,0.1,0.93,0.0155,True,False
834,III_weak,164.796,30145,36162,A,A,primer-cosmos-west,primer-cosmos-west,True,5.6646,6.411,0.7464,-5.1,-4.715,0.385,249,197,-2.046,-1.605,-0.441,6.58,4.385,2.0,0.5,1.5,3.5,0.0583,True,False
835,I,164.7425,12544,20632,A,A,ceers-full,ceers-full,True,4.5497,5.6531,1.1035,-5.01,-4.107,0.903,235,85,-1.316,-2.838,1.522,3.36,13.655,0.4,2.0,-1.6,0.84,0.014,False,False
836,III_weak,164.72050000000002,13074,21037,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2148,4.4761,0.7387,-3.796,-4.619,0.823,46,181,-2.885,-3.064,0.179,14.255,16.813,2.5,0.7000000000000001,1.8,2.26,0.0376,True,False
837,III_weak,164.71550000000002,14076,59626,A,A,ceers-full,ceers-full,True,5.6614,6.3671,0.7057,-4.855,-4.189,0.666,218,100,-1.647,-1.364,-0.283,4.557,3.511,1.9,0.9,1.0,3.96,0.066,True,False
838,I,164.6315,52581,60046,A,A,primer-uds-south,primer-uds-south,True,6.167,5.4628,0.7041,-4.052,-5.145,1.094,74,254,-2.502,-0.977,-1.525,10.017,2.46,1.3,1.0,0.3,1.88,0.0314,False,False
839,III_weak,164.60399999999998,36985,55490,A,A,ceers-full,ceers-full,True,5.6537,7.1493,1.4956,-4.161,-3.522,0.639,97,40,-2.899,-2.338,-0.56,14.441,8.618,2.0,2.7,-0.7,2.39,0.0398,True,False
840,I_conflict,164.54649999999998,18540,31661,A,A,primer-cosmos-west,primer-cosmos-west,True,8.9337,4.4626,4.4711,-4.869,-4.603,0.266,219,177,-2.025,-1.535,-0.49,6.458,4.111,1.7000000000000002,0.5,1.2,4.07,0.0678,False,True
841,I,164.529,14086,23571,A,A,primer-cosmos-east,primer-cosmos-east,True,7.1273,4.7607,2.3666,-4.704,-5.17,0.466,192,258,-2.633,-1.232,-1.401,11.302,3.11,1.9,0.2,1.7,3.19,0.0531,False,False
842,I,164.4785,36872,37878,A,A,primer-uds-south,primer-uds-south,True,7.1351,4.7732,2.3619,-4.47,-5.154,0.685,136,255,-2.842,-1.572,-1.27,13.703,4.253,2.4000000000000004,0.8,1.6,0.33,0.0055,False,False
843,III,164.464,52581,69772,A,A,primer-uds-south,primer-uds-south,True,6.167,5.4294,0.7376,-4.052,-3.832,0.22,74,50,-2.502,-2.537,0.036,10.017,10.35,1.3,2.7,-1.4,4.4,0.0733,True,True
844,I,164.236,37878,59568,A,A,primer-uds-south,primer-uds-south,True,4.7732,8.9016,4.1284,-5.154,-4.592,0.562,255,173,-1.572,-2.381,0.809,4.253,8.958,0.8,2.7,-1.9,2.99,0.0498,False,False
845,I,164.187,52084,52124,A,A,primer-cosmos-east,primer-cosmos-east,True,7.0756,4.8338,2.2418,-3.658,-4.691,1.032,45,190,-2.985,-1.893,-1.092,15.637,5.717,1.6,1.2000000000000002,0.4,2.29,0.0382,False,False
846,I,164.105,30191,50716,A,A,primer-uds-south,primer-uds-south,True,4.0366,7.8636,3.827,-5.243,-4.548,0.695,265,157,-1.962,-2.779,0.817,6.093,12.935,0.0,2.7,-2.7,4.5,0.0751,False,False
847,I_conflict,164.062,72633,72956,A,A,ceers-full,ceers-full,True,5.4434,8.9042,3.4608,-4.376,-4.596,0.22,121,175,-0.889,-1.699,0.811,2.267,4.784,3.9,2.1,1.8,0.76,0.0126,False,True
848,I,163.817,40799,48498,A,A,primer-cosmos-east,primer-cosmos-east,True,7.6812,4.4533,3.2278,-4.551,-5.641,1.09,160,293,-2.636,-1.883,-0.754,11.337,5.663,2.6,0.9,1.7,2.71,0.0452,False,False
849,III_weak,163.7375,4620,9791,A,A,primer-uds-south,primer-uds-south,True,5.7463,5.0278,0.7185,-4.133,-4.829,0.697,92,213,-2.073,-2.313,0.241,6.748,8.422,1.3,1.2000000000000002,0.1,2.7,0.045,True,False
850,I,163.57,11219,32986,A,A,primer-uds-north,primer-uds-north,True,5.4287,4.1527,1.276,-3.83,-5.021,1.191,49,236,-2.534,-1.26,-1.274,10.317,3.192,2.7,0.0,2.7,4.21,0.0702,False,False
851,III_weak,163.4235,27765,45179,A,A,primer-cosmos-east,primer-cosmos-east,True,5.1726,7.1055,1.9329,-4.457,-4.157,0.301,133,96,-2.222,-2.113,-0.108,7.74,7.004,2.2,1.9,0.3,4.98,0.0829,True,False
852,I,163.28050000000002,11219,33332,A,A,primer-uds-north,primer-uds-north,True,5.4287,4.542,0.8867,-3.83,-5.076,1.246,49,246,-2.534,-1.182,-1.352,10.317,2.971,2.7,0.8,1.9,4.56,0.076,False,False
853,I,163.247,31770,48498,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7791,4.4533,1.3258,-3.574,-5.641,2.067,42,293,-2.609,-1.883,-0.727,11.061,5.663,1.9,0.9,1.0,4.85,0.0808,False,False
854,III_weak,162.817,17813,19946,A,A,primer-cosmos-east,primer-cosmos-east,True,5.2267,5.9744,0.7478,-5.11,-4.715,0.395,250,196,-2.268,-1.873,-0.395,8.076,5.613,1.8,1.0,0.8,1.41,0.0236,True,False
855,I,162.761,20187,23571,A,A,primer-cosmos-east,primer-cosmos-east,True,6.6082,4.7607,1.8474,-4.12,-5.17,1.05,88,258,-2.403,-1.232,-1.171,9.146,3.11,2.4000000000000004,0.2,2.2,2.07,0.0345,False,False
856,III_weak,162.7335,6282,16408,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6738,4.5749,1.0989,-4.11,-4.505,0.395,86,144,-1.708,-1.996,0.288,4.822,6.287,1.8,1.1,0.7,4.94,0.0824,True,False
857,I,162.51850000000002,36872,45383,A,A,primer-uds-south,primer-uds-south,True,7.1351,4.8552,2.2799,-4.47,-5.144,0.674,136,253,-2.842,-1.58,-1.262,13.703,4.285,2.4000000000000004,0.9,1.5,3.88,0.0647,False,False
858,III_weak,162.51550000000003,2981,29303,A,A,gds,gds,True,4.8122,5.986,1.1737,-5.367,-5.076,0.292,283,245,-1.738,-1.415,-0.323,4.956,3.681,2.2,2.0,0.2,3.8,0.0633,True,False
859,I,162.456,6756,12544,A,A,ceers-full,ceers-full,True,7.1361,4.5497,2.5864,-4.153,-5.01,0.857,95,235,-2.375,-1.316,-1.059,8.91,3.36,2.5,0.4,2.1,0.63,0.0105,False,False
860,III_weak,162.35649999999998,51593,52581,A,A,primer-uds-south,primer-uds-south,True,4.4579,6.167,1.7091,-4.455,-4.052,0.404,132,74,-3.094,-2.502,-0.592,17.278,10.017,1.0,1.3,-0.3,1.9,0.0317,True,False
861,I,162.276,45383,59568,A,A,primer-uds-south,primer-uds-south,True,4.8552,8.9016,4.0464,-5.144,-4.592,0.551,253,173,-1.58,-2.381,0.801,4.285,8.958,0.9,2.7,-1.8,2.33,0.0388,False,False
862,I,162.1285,3992,43932,A,A,primer-uds-north,primer-uds-north,True,5.6593,4.2354,1.4239,-4.053,-4.802,0.749,75,207,-2.723,-1.257,-1.466,12.278,3.183,1.6,0.5,1.1,4.25,0.0708,False,False
863,III_weak,162.115,44446,54067,A,A,primer-cosmos-west,primer-cosmos-west,True,7.1315,5.6564,1.475,-4.731,-5.239,0.508,202,263,-1.938,-2.033,0.095,5.959,6.506,2.8000000000000003,0.5,2.3,3.61,0.0602,True,False
864,I,162.0925,33445,44435,A,A,primer-uds-south,primer-uds-south,True,4.3458,5.1733,0.8275,-5.25,-4.854,0.396,266,217,-0.735,-2.591,1.856,1.968,10.873,0.0,1.1,-1.1,4.49,0.0748,False,False
865,III_weak,162.0705,29568,36162,A,A,primer-cosmos-west,primer-cosmos-west,True,4.3603,6.411,2.0507,-4.937,-4.715,0.222,224,197,-2.198,-1.605,-0.593,7.57,4.385,0.4,0.5,-0.1,2.14,0.0357,True,False
866,III_weak,161.625,32535,33230,A,A,primer-cosmos-west,primer-cosmos-west,True,5.7492,4.7522,0.997,-4.325,-5.169,0.844,118,257,-1.188,-1.215,0.027,2.987,3.062,0.6000000000000001,0.2,0.4,3.44,0.0574,True,False
867,I_conflict,161.6165,11501,36872,A,A,primer-uds-south,primer-uds-south,True,4.68,7.1351,2.4551,-3.982,-4.47,0.488,63,136,-1.939,-2.842,0.903,5.965,13.703,2.0,2.4000000000000004,-0.4,2.79,0.0466,False,True
868,I_conflict,161.4025,18804,29110,A,A,primer-uds-north,primer-uds-north,True,4.3173,7.1288,2.8115,-4.229,-4.845,0.616,103,216,-2.141,-2.856,0.715,7.184,13.874,1.5,2.4000000000000004,-0.9,3.88,0.0646,False,True
869,I_conflict,161.39999999999998,29110,62716,A,A,primer-uds-north,primer-uds-north,True,7.1288,5.3867,1.742,-4.845,-4.396,0.449,216,125,-2.856,-1.719,-1.136,13.874,4.871,2.4000000000000004,1.2000000000000002,1.2,3.72,0.062,False,True
870,I,161.315,32402,35367,A,A,gds,gds,True,4.9424,5.4895,0.547,-5.321,-3.899,1.422,276,56,-1.703,-3.012,1.309,4.797,16.019,3.2,2.3000000000000003,0.9,0.4,0.0066,False,False
