field,obsid,s_ra,s_dec
primer-cosmos-west,250360833,150.18048124999999,2.400672222222222
primer-cosmos-west,266463057,150.18048124999999,2.400672222222222
primer-cosmos-west,250360839,150.18048124999999,2.400672222222222
primer-cosmos-west,266463061,150.18048124999999,2.400672222222222
primer-cosmos-west,266463039,150.18048124999999,2.400672222222222
primer-cosmos-west,266463042,150.18048124999999,2.400672222222222
primer-cosmos-west,266463043,150.18048124999999,2.400672222222222
primer-cosmos-west,266463046,150.18048124999999,2.400672222222222
primer-cosmos-west,250360816,150.18048124999999,2.400672222222222
primer-cosmos-west,266463040,150.18048124999999,2.400672222222222
primer-cosmos-west,250360822,150.18048124999999,2.400672222222222
primer-cosmos-west,266463044,150.18048124999999,2.400672222222222
primer-cosmos-west,127234722,150.1369016666667,2.1511722222222223
primer-cosmos-west,250360817,150.18048124999999,2.400672222222222
primer-cosmos-west,266463041,150.18048124999999,2.400672222222222
primer-cosmos-west,250360823,150.18048124999999,2.400672222222222
primer-cosmos-west,266463045,150.18048124999999,2.400672222222222
primer-cosmos-west,262998665,149.8648225,2.1475444444444443
primer-cosmos-west,262998293,149.8648225,2.1475444444444443
primer-cosmos-west,268591054,150.16040583333333,2.1596527777777776
primer-cosmos-west,378648600,150.08754166666668,2.4184444444444444
primer-cosmos-west,378648601,150.08754166666668,2.4184444444444444
primer-cosmos-west,268591047,150.16040583333333,2.1596527777777776
primer-cosmos-west,268591046,150.16040583333333,2.1596527777777776
primer-cosmos-west,268591049,150.16040583333333,2.1596527777777776
primer-cosmos-west,266463087,150.18048124999999,2.400672222222222
primer-cosmos-west,266463090,150.18048124999999,2.400672222222222
primer-cosmos-west,266463091,150.18048124999999,2.400672222222222
primer-cosmos-west,266463094,150.18048124999999,2.400672222222222
primer-cosmos-west,268591048,150.16040583333333,2.1596527777777776
primer-cosmos-west,378648602,150.08754166666668,2.4184444444444444
primer-cosmos-west,250360864,150.18048124999999,2.400672222222222
primer-cosmos-west,266463088,150.18048124999999,2.400672222222222
primer-cosmos-west,250360870,150.18048124999999,2.400672222222222
primer-cosmos-west,266463092,150.18048124999999,2.400672222222222
primer-cosmos-west,268591051,150.16040583333333,2.1596527777777776
primer-cosmos-west,268591052,150.16040583333333,2.1596527777777776
primer-cosmos-west,250360865,150.18048124999999,2.400672222222222
primer-cosmos-west,266463089,150.18048124999999,2.400672222222222
primer-cosmos-west,250360871,150.18048124999999,2.400672222222222
primer-cosmos-west,266463093,150.18048124999999,2.400672222222222
primer-cosmos-west,378648603,150.08754166666668,2.4184444444444444
primer-cosmos-west,268591050,150.16040583333333,2.1596527777777776
primer-cosmos-west,268591053,150.16040583333333,2.1596527777777776
primer-cosmos-west,378648604,150.08754166666668,2.4184444444444444
primer-cosmos-west,378648605,150.08754166666668,2.4184444444444444
primer-cosmos-west,200890885,150.30421458333333,2.3980888888888887
primer-cosmos-west,262999522,150.14817499999998,2.197494444444444
primer-cosmos-west,300593774,150.14817499999998,2.197494444444444
primer-cosmos-west,262999519,150.14817499999998,2.197494444444444
primer-cosmos-west,300593767,150.14817499999998,2.197494444444444
primer-cosmos-west,262999518,150.14817499999998,2.197494444444444
primer-cosmos-west,300593768,150.14817499999998,2.197494444444444
primer-cosmos-west,262999523,150.14817499999998,2.197494444444444
primer-cosmos-west,300593766,150.14817499999998,2.197494444444444
primer-cosmos-west,262999521,150.14817499999998,2.197494444444444
primer-cosmos-west,300593771,150.14817499999998,2.197494444444444
primer-cosmos-west,262999517,150.14817499999998,2.197494444444444
primer-cosmos-west,300593772,150.14817499999998,2.197494444444444
primer-cosmos-west,262999526,150.14817499999998,2.197494444444444
primer-cosmos-west,300593765,150.14817499999998,2.197494444444444
primer-cosmos-west,262999516,150.14817499999998,2.197494444444444
primer-cosmos-west,300593776,150.14817499999998,2.197494444444444
primer-cosmos-west,262999524,150.14817499999998,2.197494444444444
primer-cosmos-west,300593770,150.14817499999998,2.197494444444444
primer-cosmos-west,200589940,150.27120958333336,2.3075027777777777
primer-cosmos-west,262999527,150.14817499999998,2.197494444444444
primer-cosmos-west,300593773,150.14817499999998,2.197494444444444
primer-cosmos-west,262999520,150.14817499999998,2.197494444444444
primer-cosmos-west,300593775,150.14817499999998,2.197494444444444
primer-cosmos-west,262999525,150.14817499999998,2.197494444444444
primer-cosmos-west,300593769,150.14817499999998,2.197494444444444
primer-cosmos-west,262999506,150.14817499999998,2.197494444444444
primer-cosmos-west,262999496,150.14817499999998,2.197494444444444
primer-cosmos-west,262999501,150.14817499999998,2.197494444444444
primer-cosmos-west,266463167,150.18048124999999,2.400672222222222
primer-cosmos-west,266463170,150.18048124999999,2.400672222222222
primer-cosmos-west,266463171,150.18048124999999,2.400672222222222
primer-cosmos-west,266463174,150.18048124999999,2.400672222222222
primer-cosmos-west,262999497,150.14817499999998,2.197494444444444
primer-cosmos-west,262999504,150.14817499999998,2.197494444444444
primer-cosmos-west,262999505,150.14817499999998,2.197494444444444
primer-cosmos-west,250360944,150.18048124999999,2.400672222222222
primer-cosmos-west,266463168,150.18048124999999,2.400672222222222
primer-cosmos-west,250360950,150.18048124999999,2.400672222222222
primer-cosmos-west,266463172,150.18048124999999,2.400672222222222
primer-cosmos-west,266463103,150.18048124999999,2.400672222222222
primer-cosmos-west,266463106,150.18048124999999,2.400672222222222
primer-cosmos-west,266463107,150.18048124999999,2.400672222222222
primer-cosmos-west,266463110,150.18048124999999,2.400672222222222
primer-cosmos-west,262999498,150.14817499999998,2.197494444444444
primer-cosmos-west,258432503,150.1004179166667,2.3696166666666665
primer-cosmos-west,262999502,150.14817499999998,2.197494444444444
primer-cosmos-west,262999499,150.14817499999998,2.197494444444444
primer-cosmos-west,250360880,150.18048124999999,2.400672222222222
primer-cosmos-west,266463104,150.18048124999999,2.400672222222222
primer-cosmos-west,250360886,150.18048124999999,2.400672222222222
primer-cosmos-west,266463108,150.18048124999999,2.400672222222222
primer-cosmos-west,250360945,150.18048124999999,2.400672222222222
primer-cosmos-west,266463169,150.18048124999999,2.400672222222222
primer-cosmos-west,250360951,150.18048124999999,2.400672222222222
primer-cosmos-west,266463173,150.18048124999999,2.400672222222222
primer-cosmos-west,262999500,150.14817499999998,2.197494444444444
primer-cosmos-west,262999495,150.14817499999998,2.197494444444444
primer-cosmos-west,250360881,150.18048124999999,2.400672222222222
primer-cosmos-west,266463105,150.18048124999999,2.400672222222222
primer-cosmos-west,250360887,150.18048124999999,2.400672222222222
primer-cosmos-west,266463109,150.18048124999999,2.400672222222222
primer-cosmos-west,262999503,150.14817499999998,2.197494444444444
primer-cosmos-west,266463151,150.18048124999999,2.400672222222222
primer-cosmos-west,266463154,150.18048124999999,2.400672222222222
primer-cosmos-west,266463155,150.18048124999999,2.400672222222222
primer-cosmos-west,266463158,150.18048124999999,2.400672222222222
primer-cosmos-west,258432744,150.1004179166667,2.3696166666666665
primer-cosmos-west,250360928,150.18048124999999,2.400672222222222
primer-cosmos-west,266463152,150.18048124999999,2.400672222222222
primer-cosmos-west,250360934,150.18048124999999,2.400672222222222
primer-cosmos-west,266463156,150.18048124999999,2.400672222222222
primer-cosmos-west,250360929,150.18048124999999,2.400672222222222
primer-cosmos-west,266463153,150.18048124999999,2.400672222222222
primer-cosmos-west,250360935,150.18048124999999,2.400672222222222
primer-cosmos-west,266463157,150.18048124999999,2.400672222222222
primer-cosmos-west,127239352,149.89897166666665,2.1351222222222224
primer-cosmos-west,378648594,150.08754166666668,2.4184444444444444
primer-cosmos-west,378648595,150.08754166666668,2.4184444444444444
primer-cosmos-west,200498888,150.03208916666665,2.394461111111111
primer-cosmos-west,378648596,150.08754166666668,2.4184444444444444
primer-cosmos-west,378648597,150.08754166666668,2.4184444444444444
primer-cosmos-west,199481713,150.13574208333333,2.254183333333333
primer-cosmos-west,389719988,150.05670166666667,2.434663888888889
primer-cosmos-west,389720024,150.05670166666667,2.434663888888889
primer-cosmos-west,389720031,150.05670166666667,2.434663888888889
primer-cosmos-west,389720020,150.05670166666667,2.434663888888889
primer-cosmos-west,378648598,150.08754166666668,2.4184444444444444
primer-cosmos-west,378648599,150.08754166666668,2.4184444444444444
primer-cosmos-west,389719984,150.05670166666667,2.434663888888889
primer-cosmos-west,389720021,150.05670166666667,2.434663888888889
primer-cosmos-west,389720027,150.05670166666667,2.434663888888889
primer-cosmos-west,389719989,150.05670166666667,2.434663888888889
primer-cosmos-west,389719985,150.05670166666667,2.434663888888889
primer-cosmos-west,389720025,150.05670166666667,2.434663888888889
primer-cosmos-west,389720026,150.05670166666667,2.434663888888889
primer-cosmos-west,389719990,150.05670166666667,2.434663888888889
primer-cosmos-west,389719986,150.05670166666667,2.434663888888889
primer-cosmos-west,389720023,150.05670166666667,2.434663888888889
primer-cosmos-west,389720032,150.05670166666667,2.434663888888889
primer-cosmos-west,389720022,150.05670166666667,2.434663888888889
primer-cosmos-west,126650209,150.10389708333332,2.060586111111111
primer-cosmos-west,200632761,150.23474125,2.5259444444444443
primer-cosmos-west,268591011,150.18169541666666,2.117847222222222
primer-cosmos-west,200499303,150.20059208333333,2.5383666666666667
primer-cosmos-west,268591010,150.18169541666666,2.117847222222222
