id,field,z_phot,z_dist_fossil,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,Av_null,Av_geff,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
50300,primer-cosmos-west,5.696,0.16998,5.55,0.3,5.25,20.8,10.3,10.5,2.19,0.08,0.4502,0.146,3.73,Weak,7
50560,primer-cosmos-west,5.146,0.16998,58.35,53.21,5.13,126.4,116.2,10.3,0.0,0.0,0.0821,0.771,8.16,Weak,7
51657,primer-cosmos-west,4.794,0.16998,3861.29,3859.09,2.2,7732.3,7727.9,4.4,0.2,0.33,0.1449,0.072,9.91,Weak,7
53626,primer-cosmos-west,5.655,0.16998,26.14,2.56,23.58,62.0,14.8,47.2,2.92,3.05,0.0002,2.5,5.02,Support,7
54067,primer-cosmos-west,5.656,0.16998,0.93,0.49,0.43,11.6,10.7,0.9,4.01,4.99,0.2804,0.161,6.51,Neutral,7
55716,primer-cosmos-west,4.438,0.16998,3243.92,2018.69,1225.22,6497.6,4047.1,2450.4,0.95,0.24,0.1461,0.385,7.15,Support,7
1498,gds,4.663,0.16998,152.76,113.66,39.1,315.2,237.0,78.2,0.0,0.0,0.1648,0.137,15.25,Support,7
2981,gds,4.812,0.16998,194.11,193.99,0.12,398.0,397.7,0.2,0.9,1.03,0.0003,2.5,4.96,Neutral,7
3099,gds,5.458,0.16998,4.85,4.79,0.06,19.4,19.3,0.1,3.82,3.96,0.0445,0.784,11.39,Neutral,7
5434,gds,4.107,0.16998,1010.57,407.23,603.34,2030.9,824.2,1206.7,1.26,0.6,0.4173,0.01,7.14,Support,7
14381,gds,5.444,0.16998,14.08,14.02,0.06,37.9,37.8,0.1,3.37,3.5,0.0007,2.5,5.99,Neutral,7
14605,gds,6.928,0.16998,250.11,242.33,7.78,509.9,494.4,15.6,0.0,0.0,0.109,0.738,1.98,Weak,7
16053,gds,6.902,0.16998,25.06,24.5,0.56,59.9,58.7,1.1,0.0,0.0,0.15,0.716,2.07,Neutral,7
18537,gds,4.277,0.16998,1886.94,692.11,1194.84,3783.6,1393.9,2389.7,0.33,0.0,0.1593,0.694,3.66,Support,7
22388,gds,7.182,0.16998,8404.11,8330.3,73.81,8413.1,8339.3,73.8,4.24,4.35,0.0079,1.858,2.06,Support,6
23636,gds,7.133,0.16998,8.05,8.76,-0.71,17.0,17.7,-0.7,2.55,2.68,0.0,2.5,7.85,Neutral,6
23868,gds,8.928,0.16998,35.7,36.69,-0.99,81.1,83.1,-2.0,0.49,0.49,0.2701,0.01,12.5,Neutral,7
29303,gds,5.986,0.16998,116.78,12.03,104.75,243.3,33.8,209.5,2.57,1.66,0.0314,1.181,3.68,Support,7
32147,gds,4.603,0.16998,1506.52,1512.25,-5.73,3022.8,3034.2,-11.5,1.18,1.32,0.0006,2.5,5.26,Null wins,7
32402,gds,4.942,0.16998,13.4,13.39,0.01,36.5,36.5,0.0,2.14,2.28,0.0009,2.5,4.8,Neutral,7
