id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
70813,primer-uds-north,4.7062697,-18.445861592288747,44.59105803194531,0.7000000000000001,100.70344797393987,9.47,-32.23,9.47,9.47,0.3,M_UV_relation,0
71037,primer-uds-north,6.849483,-18.214225486236323,45.7036248700976,1.4,68.42158433044855,9.77,-32.22,9.77,9.77,0.3,M_UV_relation,0
71893,primer-uds-north,6.429184,-18.516175992769384,44.937835358635304,1.7000000000000002,134.07548138606464,9.82,-32.23,9.82,9.82,0.3,M_UV_relation,0
4278,primer-cosmos-east,5.6582265,-18.682312022164837,44.95604445568988,2.1,166.72576349784188,9.75,-32.23,9.75,9.75,0.3,M_UV_relation,0
6282,primer-cosmos-east,5.673777,-19.83129225899538,45.358567732265605,1.8,74.25574260142744,10.25,-32.23,10.25,10.25,0.3,M_UV_relation,0
9227,primer-cosmos-east,5.713857,-20.6002220843258,44.630865890131304,0.0,165.23975068084368,10.58,-32.23,10.58,10.58,0.3,M_UV_relation,0
10696,primer-cosmos-east,5.6677623,-17.913941567128244,44.54897787202853,1.2000000000000002,88.3758712353823,9.42,-32.24,9.42,9.42,0.3,M_UV_relation,0
11967,primer-cosmos-east,5.482298,-17.70741974049986,45.011070952798974,3.1,133.1464167047015,9.3,-32.23,9.3,9.3,0.3,M_UV_relation,0
14086,primer-cosmos-east,7.127323,-17.672069166585732,45.30666451987038,1.9,78.36029237983924,9.59,-32.23,9.59,9.59,0.3,M_UV_relation,0
14487,primer-cosmos-east,7.1692533,-18.42799352396667,45.02603779455422,2.0,141.4839957719728,9.93,-32.23,9.93,9.93,0.3,M_UV_relation,0
15393,primer-cosmos-east,5.68946,-17.60131108719087,44.07797773646327,1.4,123.6962826516061,9.29,-32.24,9.29,9.29,0.3,M_UV_relation,0
15850,primer-cosmos-east,7.0456376,-18.854532485601553,46.39097637244016,3.3000000000000003,76.68805100667778,10.09,-32.22,10.09,10.09,0.3,M_UV_relation,0
