id,field,z_phot,Tanh_baseline_dC2,Tanh_baseline_verdict,Gaussian_single_dC2,Gaussian_single_verdict,Gaussian_double_dC2,Gaussian_double_verdict,Wide_tanh_dC2,Wide_tanh_verdict,Tanh_p_highmz_decay_dC2,Tanh_p_highmz_decay_verdict
47021,ceers-full,8.0230665,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
48983,ceers-full,7.136761,0.0019,Neutral,0.0011,Neutral,0.0005,Neutral,0.0019,Neutral,0.0019,Neutral
49360,ceers-full,4.737312,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
55490,ceers-full,7.1493306,0.0011,Neutral,0.0006,Neutral,0.0003,Neutral,0.0011,Neutral,0.0011,Neutral
57051,ceers-full,5.668079,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
58630,ceers-full,4.546808,0.0006,Neutral,0.0006,Neutral,0.0004,Neutral,0.0006,Neutral,0.0006,Neutral
59162,ceers-full,7.84113,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
59626,ceers-full,6.367115,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
60774,ceers-full,5.2847676,0.0006,Neutral,0.0006,Neutral,0.0003,Neutral,0.0006,Neutral,0.0006,Neutral
61323,ceers-full,7.1270275,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
63106,ceers-full,5.655657,0.0006,Neutral,0.0005,Neutral,0.0003,Neutral,0.0006,Neutral,0.0006,Neutral
67137,ceers-full,7.4964614,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
68816,ceers-full,4.532283,0.0004,Neutral,0.0004,Neutral,0.0003,Neutral,0.0004,Neutral,0.0004,Neutral
70681,ceers-full,7.9008055,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
71267,ceers-full,7.5175495,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
71321,ceers-full,7.12932,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
71380,ceers-full,7.1262627,0.0002,Neutral,0.0001,Neutral,0.0,Neutral,0.0002,Neutral,0.0002,Neutral
72633,ceers-full,5.4433956,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
72956,ceers-full,8.90418,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
73890,ceers-full,5.6603184,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
7242,primer-cosmos-west,5.6587553,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
8118,primer-cosmos-west,5.642418,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
13074,primer-cosmos-west,5.214783,0.0011,Neutral,0.0011,Neutral,0.0006,Neutral,0.0011,Neutral,0.0011,Neutral
13666,primer-cosmos-west,5.2880526,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
15233,primer-cosmos-west,4.9860177,0.0004,Neutral,0.0004,Neutral,0.0003,Neutral,0.0004,Neutral,0.0004,Neutral
16152,primer-cosmos-west,5.7143655,0.0007,Neutral,0.0006,Neutral,0.0004,Neutral,0.0007,Neutral,0.0007,Neutral
18540,primer-cosmos-west,8.933716,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
21037,primer-cosmos-west,4.4761047,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
21620,primer-cosmos-west,8.087144,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
22379,primer-cosmos-west,5.734882,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
22483,primer-cosmos-west,7.1354685,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
22702,primer-cosmos-west,5.4311905,0.0017,Neutral,0.0016,Neutral,0.0009,Neutral,0.0017,Neutral,0.0017,Neutral
