id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
54143,primer-uds-north,34.466942861952305,-5.1192260932954206,6.65,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.648619358030375e-16,1.8828731193434585e-16,1.129723871606075e-15,3.77,False
54603,primer-uds-north,34.34025165777664,-5.118707167823379,2.22,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.96106380464322e-16,6.536879348810734e-17,3.92212760928644e-16,1.31,False
55902,primer-uds-north,34.3723692861514,-5.115911848045463,2.17,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.9433996278455657e-16,6.47799875948522e-17,3.8867992556911315e-16,1.3,False
56783,primer-uds-north,34.21687919902369,-5.114384799480999,8.82,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.785982354257704e-16,2.928660784752568e-16,1.7571964708515407e-15,5.86,False
57469,primer-uds-north,34.43021892134757,-5.113188391459482,4.74,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.608141429714134e-16,1.2027138099047115e-16,7.216282859428268e-16,2.41,False
57944,primer-uds-north,34.35325571098699,-5.11226685839519,2.3,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.9957576593108072e-16,6.652525531036024e-17,3.9915153186216144e-16,1.33,False
61010,primer-uds-north,34.21842694680572,-5.107160386031185,8.84,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.829825798742864e-16,2.943275266247621e-16,1.7659651597485727e-15,5.89,False
61298,primer-uds-north,34.39440513225522,-5.106746992298238,3.31,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.5277137303768327e-16,8.425712434589442e-17,5.055427460753665e-16,1.69,False
61378,primer-uds-north,34.21395271523686,-5.106552572188026,9.11,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.27838467330664e-16,3.0927948911022136e-16,1.855676934661328e-15,6.19,False
62716,primer-uds-north,34.39679207216778,-5.104411139932186,3.51,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.6546515177335733e-16,8.848838392445244e-17,5.309303035467147e-16,1.77,False
64273,primer-uds-north,34.228526240834974,-5.101526094376732,8.38,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.080269813522935e-16,2.6934232711743114e-16,1.616053962704587e-15,5.39,False
66007,primer-uds-north,34.22810058989839,-5.098143957617616,8.47,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.232357784785446e-16,2.7441192615951485e-16,1.6464715569570892e-15,5.49,False
67270,primer-uds-north,34.20229581680351,-5.0953506417754015,9.98,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.0834872149918823e-15,3.6116240499729406e-16,2.1669744299837646e-15,7.22,False
68006,primer-uds-north,34.441683442818885,-5.093647804999169,5.94,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.805670157205534e-16,1.6018900524018448e-16,9.611340314411068e-16,3.2,False
69921,primer-uds-north,34.26162479642979,-5.0893585216531125,6.91,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.981326336126648e-16,1.9937754453755492e-16,1.1962652672253296e-15,3.99,False
69936,primer-uds-north,34.29256639351791,-5.089318798905567,5.43,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.2652349022084826e-16,1.4217449674028275e-16,8.530469804416965e-16,2.84,False
70423,primer-uds-north,34.22631186034366,-5.088100079900028,8.81,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.777117817804838e-16,2.9257059392682794e-16,1.7554235635609676e-15,5.85,False
