ID,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,N_filt
33898,primer-uds-south,4.55,0.0159,4.663968627828393e+82,4.0383345589764875e+82,6.256340688519053e+81,1.3991905883485178e+83,1.2115003676929463e+83,1.876902206555716e+82,1.0,0.0,0.5,1.2,2.78,7
36872,primer-uds-south,7.14,0.0449,1.9280035935565925e+84,1.211336536926608e+84,7.166670566299848e+83,5.784010780669778e+84,3.634009610779824e+84,2.1500011698899537e+84,1.0,0.0,0.5,1.2,13.7,7
37557,primer-uds-south,5.66,0.0265,6.032613556505792e+84,4.574826377908329e+84,1.4577871785974632e+84,1.8097840669517376e+85,1.3724479133724983e+85,4.37336153579239e+84,1.0,0.0,0.5,1.2,8.87,7
37751,primer-uds-south,5.36,0.0234,1.258936014354616e+84,9.915633848235285e+83,2.6737262953108754e+83,3.7768080430638477e+84,2.9746901544705855e+84,8.021178885932626e+83,1.0,0.0,0.5,1.2,14.06,7
37878,primer-uds-south,4.77,0.0179,9.798136862107879e+82,8.240090650741085e+82,1.5580462113667922e+82,2.9394410586323635e+83,2.472027195222326e+83,4.674138634100377e+82,1.0,0.0,0.5,1.2,4.25,7
39711,primer-uds-south,5.46,0.0245,1.09637337608548e+83,8.822142350422834e+82,2.1415914104319665e+82,3.28912012825644e+83,2.64664270512685e+83,6.4247742312959e+82,1.0,0.0,0.5,1.2,4.24,7
44435,primer-uds-south,5.17,0.0216,1.0615752767475159e+82,8.65130135731736e+81,1.9644514101577993e+81,2.1231505534950318e+82,1.730260271463472e+82,3.9289028203155986e+81,1.0,0.0,0.5,1.2,10.87,6
45383,primer-uds-south,4.86,0.0186,3.7005309769311705e+82,3.093539432706067e+82,6.069915442251035e+81,1.1101592930793512e+83,9.280618298118201e+82,1.8209746326753106e+82,1.0,0.0,0.5,1.2,4.28,7
45637,primer-uds-south,4.54,0.0158,7.270164019486949e+83,6.300524071030574e+83,9.696399484563749e+82,2.1810492058460846e+84,1.8901572213091718e+84,2.908919845369126e+83,1.0,0.0,0.5,1.2,3.17,7
47509,primer-uds-south,5.66,0.0266,6.473457209671802e+83,4.907079776519168e+83,1.5663774331526337e+83,1.9420371629015406e+84,1.4721239329557506e+84,4.6991322994579e+83,1.0,0.0,0.5,1.2,4.74,7
48686,primer-uds-south,4.84,0.0185,3.389367188836756e+82,2.732499656201778e+82,6.568675326349778e+81,1.0168101566510268e+83,8.197498968605335e+82,1.9706025979049333e+82,1.0,0.0,0.5,1.2,3.27,7
48982,primer-uds-south,5.39,0.0237,1.1230957436296256e+83,8.815714044071286e+82,2.4152433922249698e+82,3.369287230888877e+83,2.6447142132213856e+83,7.245730176674912e+82,1.0,0.0,0.5,1.2,7.34,7
50716,primer-uds-south,7.86,0.0556,3.4555545816790603e+83,2.0087835818903668e+83,1.4467709997886935e+83,6.911109163358121e+83,4.0175671637807336e+83,2.893541999577387e+83,1.0,0.0,0.5,1.2,12.93,6
51593,primer-uds-south,4.46,0.0152,2.367323136236974e+83,1.9758104030190408e+83,3.915127332179331e+82,7.101969408710922e+83,5.927431209057122e+83,1.1745381996537996e+83,1.0,0.0,0.5,1.2,17.28,7
52581,primer-uds-south,6.17,0.0323,7.136591505795947e+83,5.095724970138618e+83,2.0408665356573284e+83,1.4273183011591894e+84,1.0191449940277237e+84,4.081733071314656e+83,1.0,0.0,0.5,1.2,10.02,6
55634,primer-uds-south,6.88,0.0414,3.842880824184647e+84,2.5184735911228786e+84,1.3244072330617685e+84,1.152864247255394e+85,7.555420773368637e+84,3.973221699185305e+84,1.0,0.0,0.5,1.2,1.66,7
