id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
41129,gds,7.133351,7,0.095153,0.190305,307.006307,322.100136,-15.093829,1538.923356,1614.392499,-75.469144,Null wins,0.081382,0.338562,0.086171,0.361956
44531,gds,7.124074,6,0.094878,0.189756,20.205416,21.468459,-1.263043,84.405183,89.457354,-5.052171,Null wins,0.333118,0.305510,0.338891,0.326860
45202,gds,7.131256,7,0.095090,0.190181,535.289015,564.949178,-29.660163,2680.336895,2828.637712,-148.300817,Null wins,0.120551,0.336820,0.124858,0.360286
46221,gds,4.045229,7,0.025506,0.051012,342.078626,348.941910,-6.863283,1714.284952,1748.601368,-34.316416,Null wins,0.474032,0.278457,0.475058,0.285426
46281,gds,4.789628,7,0.038219,0.076438,8.540575,8.530852,0.009723,46.594696,46.546080,0.048615,Weak,0.355564,0.324485,0.356145,0.337702
51983,gds,7.135305,7,0.095210,0.190421,247.635458,258.509651,-10.874193,1242.069108,1296.440076,-54.370967,Null wins,0.124028,0.322743,0.128589,0.344987
52017,gds,6.331133,7,0.072858,0.145717,246.258136,12.971811,233.286325,1235.182501,68.750875,1166.431627,Weak,0.502753,0.184754,0.506512,0.285147
64049,gds,5.271346,7,0.047869,0.095737,68.783842,70.905384,-2.121542,347.811031,358.418741,-10.607711,Null wins,0.323202,0.268851,0.328126,0.278590
65646,gds,5.658066,7,0.056396,0.112791,992.821857,1012.632751,-19.810894,4968.001104,5067.055576,-99.054471,Null wins,0.190552,0.204816,0.198330,0.210655
66116,gds,6.846422,7,0.086844,0.173687,61.086177,68.212324,-7.126147,309.322704,344.953438,-35.630734,Null wins,0.309958,0.366130,0.313703,0.391986
