id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
47824,primer-cosmos-east,5.655495,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
48498,primer-cosmos-east,4.453304,3.58,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
48540,primer-cosmos-east,5.656249,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
50325,primer-cosmos-east,6.427699,4.87,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
50988,primer-cosmos-east,4.526494,3.63,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
51514,primer-cosmos-east,4.43674,3.57,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
51855,primer-cosmos-east,4.651201,3.71,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
52084,primer-cosmos-east,7.07561,5.3,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
52124,primer-cosmos-east,4.833804,3.83,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
54661,primer-cosmos-east,5.667634,4.38,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
55423,primer-cosmos-east,5.408047,4.21,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
344,primer-uds-south,7.1353946,5.34,MIRI (unlikely),None,False,,,,,,,,
2480,primer-uds-south,4.684057,3.73,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
4620,primer-uds-south,5.7462945,4.43,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
7830,primer-uds-south,5.5453625,4.3,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
9104,primer-uds-south,6.0930605,4.66,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
9791,primer-uds-south,5.0277753,3.96,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
11501,primer-uds-south,4.6799717,3.73,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
14258,primer-uds-south,5.4718714,4.25,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
17986,primer-uds-south,4.940114,3.9,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
21488,primer-uds-south,5.413992,4.21,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
22358,primer-uds-south,4.6764946,3.73,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
23107,primer-uds-south,4.9525127,3.91,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
25430,primer-uds-south,7.1282,5.33,MIRI (unlikely),None,False,,,,,,,,
28931,primer-uds-south,7.9047303,5.84,MIRI (unlikely),None,False,,,,,,,,
29392,primer-uds-south,7.4709635,5.56,MIRI (unlikely),None,False,,,,,,,,
30157,primer-uds-south,4.726915,3.76,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
30191,primer-uds-south,4.036579,3.31,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
30520,primer-uds-south,5.349781,4.17,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
32880,primer-uds-south,4.7559557,3.78,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
33445,primer-uds-south,4.34576,3.51,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
33898,primer-uds-south,4.545273,3.64,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
36872,primer-uds-south,7.135115,5.34,MIRI (unlikely),None,False,,,,,,,,
37557,primer-uds-south,5.655718,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
37751,primer-uds-south,5.3592114,4.17,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
37878,primer-uds-south,4.7731967,3.79,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
39711,primer-uds-south,5.461955,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
44435,primer-uds-south,5.1732736,4.05,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
45383,primer-uds-south,4.8551655,3.84,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
45637,primer-uds-south,4.5362873,3.63,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
47509,primer-uds-south,5.659403,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
48686,primer-uds-south,4.843895,3.84,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
48982,primer-uds-south,5.38785,4.19,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
50716,primer-uds-south,7.8636265,5.82,MIRI (unlikely),None,False,,,,,,,,
51593,primer-uds-south,4.457851,3.58,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
52581,primer-uds-south,6.166954,4.7,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
55634,primer-uds-south,6.879805,5.17,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
55783,primer-uds-south,4.6260314,3.69,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
57494,primer-uds-south,4.0239935,3.3,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
59568,primer-uds-south,8.901577,6.5,MIRI (unlikely),None,False,,,,,,,,
59880,primer-uds-south,5.663111,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
59971,primer-uds-south,5.3915443,4.19,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
60046,primer-uds-south,5.462843,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
