id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
67270,primer-uds-north,5.6651,7,0.094465,0.188930,42.9422,42.9269,0.0153,90.11,90.08,0.03,1.0000,1.0000,-2.7749,-2.7884,3114.0982,0.0720,8567.3455,0.0000,Neutral
68006,primer-uds-north,5.1603,7,0.094447,0.188894,286.7522,286.7522,-0.0000,577.73,577.73,-0.00,1.0000,1.0000,-2.1449,-2.1450,0.0843,0.4551,11.4344,0.2347,Neutral
69921,primer-uds-north,5.6549,7,0.094465,0.188930,5.1300,5.1300,0.0000,14.49,14.49,0.00,1.0000,1.0000,-2.9773,-2.9773,150344.2313,17730.4773,214267.6342,27656.2932,Neutral
69936,primer-uds-north,7.0340,7,0.094487,0.188974,38.9673,38.9673,0.0000,82.16,82.16,0.00,0.9993,0.9996,-2.1495,-2.1495,260.5050,0.0000,403.8897,0.0000,Neutral
70423,primer-uds-north,5.4777,6,0.094459,0.188919,43.7730,43.7730,0.0000,47.66,47.66,0.00,1.0000,1.0000,-1.6744,-1.6743,9.7144,0.2859,0.3005,0.2110,Neutral
70813,primer-uds-north,4.7063,7,0.094419,0.188838,757.6194,757.6194,-0.0000,1519.46,1519.46,-0.00,0.1495,1.0000,-1.3474,-1.3474,0.0000,0.0000,391.5260,0.0000,Neutral
71037,primer-uds-north,6.8495,7,0.094485,0.188971,316.0877,316.0877,0.0000,636.40,636.40,0.00,1.0000,1.0000,-2.0411,-2.0410,47.8552,0.1569,49.3577,0.1615,Neutral
71893,primer-uds-north,6.4292,7,0.094480,0.188961,11.7914,11.7914,-0.0000,27.81,27.81,-0.00,0.9951,1.0000,-1.7725,-1.7725,0.0000,0.0890,0.2610,103.4496,Neutral
4278,primer-cosmos-east,5.6582,7,0.094465,0.188930,34.5030,34.5030,0.0000,73.23,73.23,0.00,0.9995,0.9994,-2.3050,-2.3049,217.3203,1.7208,200.5011,1.7385,Neutral
6282,primer-cosmos-east,5.6738,7,0.094465,0.188931,34.5957,34.5957,0.0000,73.42,73.42,0.00,0.9999,0.9999,-2.8786,-2.8786,4982.3958,0.0000,5100.5884,0.0000,Neutral
9227,primer-cosmos-east,5.7139,7,0.094467,0.188933,2215.6950,2215.6945,0.0005,4435.62,4435.61,0.00,1.0000,1.0000,-1.3514,-1.3514,6.5798,1572.0067,4.1088,1340.5669,Neutral
10696,primer-cosmos-east,5.6678,7,0.094465,0.188931,48.6758,48.6758,-0.0000,101.58,101.58,-0.00,1.0000,1.0000,-2.2951,-2.2951,5.2629,17616.5244,2.7714,771.4125,Neutral
11967,primer-cosmos-east,5.4823,7,0.094460,0.188919,7.3921,7.3921,-0.0000,19.01,19.01,-0.00,0.4778,0.3248,-2.1174,-2.1174,0.0000,0.0014,0.0000,0.0012,Neutral
14086,primer-cosmos-east,7.1273,7,0.094488,0.188976,11.1073,11.1073,-0.0000,26.44,26.44,-0.00,1.0000,1.0000,-2.6764,-2.6764,0.3928,275.9391,21.4471,8494.7956,Neutral
14487,primer-cosmos-east,7.1693,7,0.094488,0.188976,9.5948,9.5948,0.0000,23.42,23.42,0.00,0.9999,0.9999,-1.9734,-1.9734,483.8811,0.0000,545.3296,0.0000,Neutral
15393,primer-cosmos-east,5.6895,7,0.094466,0.188932,6.2908,6.2908,0.0000,16.81,16.81,0.00,0.2344,0.2343,-1.9747,-1.9748,0.0118,0.0008,0.0118,0.0008,Neutral
15850,primer-cosmos-east,7.0456,7,0.094487,0.188974,338.5470,338.5470,-0.0000,681.32,681.32,-0.00,1.0000,0.9990,-3.0000,-3.0000,0.0000,2753.0574,0.0000,1.7732,Neutral
16083,primer-cosmos-east,4.5779,7,0.094408,0.188816,873.5429,873.5429,-0.0000,1751.31,1751.31,-0.00,1.0000,1.0000,-1.4397,-1.4397,48.5237,136.1568,0.8631,0.0000,Neutral
16408,primer-cosmos-east,4.5749,7,0.094408,0.188816,372.7637,372.7637,0.0000,749.75,749.75,0.00,1.0000,1.0000,-1.4022,-1.4022,0.0160,0.0182,0.0846,0.0987,Neutral
