id,field,ra,dec,f090w_flux,f090w_fluxerr,f105w_flux,f105w_fluxerr,f115w_flux,f115w_fluxerr,f115wn_flux,f115wn_fluxerr,f125w_flux,f125w_fluxerr,f140w_flux,f140w_fluxerr,f150w_flux,f150w_fluxerr,f150wn_flux,f150wn_fluxerr,f160w_flux,f160w_fluxerr,f200w_flux,f200w_fluxerr,f200wn_flux,f200wn_fluxerr,f277w_flux,f277w_fluxerr,f356w_flux,f356w_fluxerr,f410m_flux,f410m_fluxerr,f435w_flux,f435w_fluxerr,f444w_flux,f444w_fluxerr,f475w_flux,f475w_fluxerr,f606w_flux,f606w_fluxerr,f775w_flux,f775w_fluxerr,f814w_flux,f814w_fluxerr,f606wu_flux,f606wu_fluxerr,f850lp_flux,f850lp_fluxerr,f110w_flux,f110w_fluxerr,f182m_flux,f182m_fluxerr,f210m_flux,f210m_fluxerr,f150w2-f162m_flux,f150w2-f162m_fluxerr,f250m_flux,f250m_fluxerr,f300m_flux,f300m_fluxerr,f335m_flux,f335m_fluxerr,f350lpu_flux,f350lpu_fluxerr,f430m_flux,f430m_fluxerr,f460m_flux,f460m_fluxerr,f480m_flux,f480m_fluxerr,f814wu_flux,f814wu_fluxerr,f850lpu_flux,f850lpu_fluxerr,z_phot,z_phot16,z_phot84,av,av_err,lbol,lbol_err,muv,muv_err,r_eff_16_pix,r_eff_50_pix,r_eff_84_pix,r_eff_16_phys,r_eff_50_phys,r_eff_84_phys,verdict,delta_chi2nu,Av_null,C_AGN,Av_geff,chi2nu_geff,alpha_AGN,ir_excess,group,fxb_full_05_7keV,offaxis_factor,sep_from_center_arcmin,ha_observed_um,ha_instrument,logMstar_best,logMstar_err,method,n_bands_used
14419,primer-uds-north,34.39917769351939,-5.184322969859979,0.0199052547558392,0.0062457371565127,0.0291063418787536,0.0104683057998918,0.0377857944748596,0.0060517994207689,,,0.0199002333493343,0.0125758078272618,0.0101346176433586,0.0155152668064013,0.0244327171289943,0.0048818152737366,,,0.0162572367251911,0.0105424135572831,0.0548213244157291,0.0039879375260447,,,0.2190840430247426,0.0030080863852235,0.2078613151600336,0.0028861945617781,0.2262924181807285,0.005087664010417,-0.0193878603426487,0.0090340854536276,0.254808978040208,0.0041194501148164,,,0.0065821721820252,0.0054514730216583,-99.0,-99.0,0.0231693272905811,0.0058302549376809,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8167844,4.742775,5.0839877,0.9,0.1833630612607618,44.527445141435194,0.3063190307946703,-17.843655823805097,0.1449259073433761,0.3193507826328277,0.3962205946445465,0.5287037897109985,81.70248692768344,101.3688073269726,135.26321780505685,Support,19.25,0.0,0.057,0.0,85.21,0.888,10.43,Support,2.4114215122009243e-16,1.61,3.12,3.82,NIRSpec (F100LP+G140H/F170LP+G235H),9.23,0.3,M_UV_relation,0
15257,primer-uds-north,34.431864205539185,-5.182779988252042,0.0078398488519508,0.0065015556422456,-99.0,-99.0,0.0263441641750954,0.0063685185424939,,,0.0185772855263012,0.0156096183984265,-0.049270594399781,0.0271123289203485,0.0336291467362668,0.0053370375802832,,,0.0431443702809185,0.0135890483955108,0.0433818520542066,0.0042616323981622,,,0.0709494846151336,0.0031578132764147,0.1528246251310954,0.0031684361943598,0.2358955623526067,0.0056853550396895,-0.0179457892412289,0.0156927873577598,0.1723695928191372,0.0045265104277929,,,0.0019945592440729,0.0073433752857065,-99.0,-99.0,0.0262285247814949,0.0067224355304436,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9201365,5.4584985,6.984527,1.3,0.1957361638427766,45.176160720308175,0.1481889223848861,-18.846641969673545,0.1957361638427759,0.3529858934879303,0.4577715694904327,0.6348810386657714,74.3004362781474,96.35690251750648,133.636893223902,Neutral,0.71,0.0,0.5414,0.0,6.43,0.01,5.13,Neutral,3.5915261032217834e-16,2.39,4.72,5.2,NIRSpec (F100LP+G140H/F170LP+G235H),10.06,0.3,M_UV_relation,0
16999,primer-uds-north,34.508057817800164,-5.1800837790157175,0.0750778141400339,0.0124280274033334,0.1130826850453699,0.015030535035009,0.0751693968393998,0.0114575440577662,,,0.0775264843482863,0.0167295623071109,-99.0,-99.0,0.0905209581053687,0.0096535571820279,,,0.083821092176599,0.0249553359708721,0.3749237818291523,0.0079375320574174,,,0.957361558855746,0.0049553376712276,1.1877713846556028,0.0048542917495942,1.395038222807824,0.0078835070827133,-99.0,-99.0,1.4105353313904372,0.0066572758419805,,,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2059326,4.036469,4.3561344,1.1,0.146419723349291,45.218479343601494,0.1524791979503741,-18.413364601496873,0.1079825694319058,0.3805641591548919,0.4540182501077652,0.5687653851509095,103.5848531309427,123.57814740257558,154.81089711036623,Support,542.06,0.26,0.2934,0.0,236.05,0.152,15.58,Support,9.14386574206944e-16,6.1,9.03,3.42,NIRSpec (F100LP+G140H/F170LP+G235H),9.36,0.3,M_UV_relation,0
18804,primer-uds-north,34.363515044768505,-5.176963791951121,0.0753999708299423,0.0041289516300452,-99.0,-99.0,0.0831636755763416,0.0039762120681419,,,0.0833201816995381,0.0143198114427368,0.0300365227108119,0.0253383239094683,0.0891541222951243,0.0033165966158298,,,0.0539782592172583,0.0121300948975184,0.1501415059658517,0.0028421079251323,,,0.3408613934717944,0.0024604611480502,0.5875086996007753,0.0026986245010303,0.5473428191170134,0.0039824358814415,0.025516511077506,0.010048113099666,0.6404656302606717,0.0034617046733555,,,0.0423605912127227,0.0050520167459973,-99.0,-99.0,0.0841492586970652,0.0049111630369381,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3172913,4.0484204,4.3846164,1.5,0.1102855824325886,45.080679388561705,0.3787061923959831,-19.21290064350012,0.0718484285152047,0.352542781829834,0.3869165033102035,0.4259975361824035,94.8678140164811,104.11764122760248,114.6341865922482,Support,345.52,1.18,0.4194,0.75,562.92,0.01,7.18,Support,1.7495142700349304e-16,1.17,1.63,3.49,NIRSpec (F100LP+G140H/F170LP+G235H),9.72,0.3,M_UV_relation,0
18892,primer-uds-north,34.268908020655076,-5.176721823124139,0.0234404457361277,0.0064905738005278,-99.0,-99.0,0.0170961447166978,0.0063061437482903,,,0.0122952431736026,0.012564242497423,0.0069052592405901,0.0148964919741957,0.0178511494541913,0.0051298907304826,,,0.0030996032741491,0.0109738750839263,0.0322109468697378,0.0041859291337224,,,0.1146473134471262,0.0030469672496016,0.1934783788720349,0.0029346364526891,0.1731469830775471,0.0054960530733534,0.0066716563827542,0.0076265821203285,0.2095088110909186,0.0044602322691021,,,0.00120823156978,0.0061092155103584,-99.0,-99.0,0.0218304642514832,0.0053380188016933,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.729469,4.5304947,4.7732325,1.0,0.1235976062554343,44.431549491761906,0.1655077861671023,-17.341007529473167,0.0851604523380498,0.2893921387195587,0.350668340921402,0.4796098804473876,74.68736522683268,90.50174813927704,123.77944496303152,Neutral,-0.01,0.44,0.2456,0.56,44.56,0.071,11.74,Neutral,4.518802159778199e-16,3.01,5.67,3.76,NIRSpec (F100LP+G140H/F170LP+G235H),9.0,0.3,M_UV_relation,0
19416,primer-uds-north,34.46076321349001,-5.175813201579843,0.0214540070200769,0.0047041409709005,-99.0,-99.0,0.0273347473923405,0.004337455476077,,,0.0366978521687176,0.0145977701495635,0.0288943467448411,0.0235368252476865,0.0310844576695719,0.0035676831862156,,,0.0078983673236834,0.0123888671918828,0.0231370511322818,0.0029445535093919,,,0.0412613042166293,0.0025895101354917,0.0832434800521533,0.002577626996597,0.152492864552497,0.0047341325335801,-99.0,-99.0,0.1108200052195378,0.0037646574039185,,,0.006690051932,0.0059264169466132,-99.0,-99.0,0.0330200817752165,0.0063312499196741,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.433182,5.3762856,5.471845,1.9,0.1489491332623773,44.78734231080007,0.3055402834906856,-18.32210220195416,0.1105119793449933,0.5308053541183472,0.6963382065296173,0.9171543288230896,127.85445032256146,167.72615035565858,220.91386543642395,Neutral,0.11,2.01,0.0672,2.14,12.05,1.066,3.57,Neutral,5.123848031455016e-16,3.42,6.22,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),9.55,0.3,M_UV_relation,0
21108,primer-uds-north,34.36296344400555,-5.17319980462139,0.0051086384871463,0.0036540459815937,-99.0,-99.0,0.0083009986152319,0.0035336369138729,,,0.0297929257372783,0.0133833802636925,0.0098213824961352,0.0227663445457999,0.0143996301914276,0.0029172639880207,,,0.0042906688903929,0.0111189699565841,0.0174137451468634,0.0024347471030067,,,0.0341069259586299,0.0018393372230112,0.0746430857510208,0.0017898806342198,0.2513770539511707,0.0034617849412933,0.0103054565343003,0.0096844309397171,0.1708201868165751,0.0027425497052898,,,-0.0021057917708752,0.0043112387197377,-99.0,-99.0,0.0100572395674242,0.0044385871962812,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1364045,7.1396646,8.938638,2.6,0.3240013007666982,45.80187686424168,0.17280339158738,-18.093206991564905,0.2855641468493122,0.3190207898616791,0.3934464752674103,0.5120882964134216,65.92959442468965,81.31058340571161,105.82938405614745,Neutral,-1.32,4.35,0.2713,4.2,7.04,0.01,11.86,Neutral,1.6845928762858103e-16,1.12,1.4,5.34,MIRI (unlikely),9.78,0.3,M_UV_relation,0
22773,primer-uds-north,34.43898594228325,-5.170543086397919,0.0541017392979996,0.0063917028778724,-99.0,-99.0,0.0603423208403734,0.0062543000033236,,,0.0383474283009752,0.0124179709359427,0.0361871138190014,0.0213773229913203,0.0665745050041828,0.0050972969376688,,,0.0469387241487862,0.0109056137992998,0.0692114751105649,0.0042001192262395,,,0.202902920729903,0.0026496359259142,0.2969085510338337,0.0026631885057011,0.2599281671148137,0.0045853926318134,-99.0,-99.0,0.3044200542439161,0.0036773081641409,,,0.0298798776297927,0.0053335594738261,-99.0,-99.0,0.0580594752098984,0.0052647004126211,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.401274,4.3050737,4.6128063,1.3,0.1724104790739479,44.71586032302294,0.1606311979768643,-18.878715129649372,0.1339733251565622,0.3177760851383209,0.3820186257362366,0.4865351545810699,84.78156338194663,101.92125161603352,129.80590099379353,Support,162.35,0.77,0.1686,0.18,99.52,0.555,4.57,Support,3.7309858283770134e-16,2.49,4.88,3.54,NIRSpec (F100LP+G140H/F170LP+G235H),9.59,0.3,M_UV_relation,0
23575,primer-uds-north,34.408019900593665,-5.16914658540713,0.0233309426679869,0.0081318446213545,0.0286592837114047,0.0108382027517614,0.0087132639570962,0.0076686065727678,,,0.0238720732113774,0.0129094614319269,0.0067891000345683,0.0237765876664326,0.0246950953157963,0.0064202666163529,,,0.0353789245571751,0.0110635945903413,0.0192951002993768,0.005435889632505,,,0.0506783025017729,0.003008437979166,0.1877061139932112,0.0029059847016829,0.1302840676915648,0.0052919248000532,0.0011392868699685,0.0097043936222274,0.2768795577700517,0.0045778809036104,,,0.0099733609998285,0.007033910256085,-99.0,-99.0,0.0272966157404405,0.0065160572446869,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6605954,5.6489077,5.6829195,2.0,0.1532479362921271,45.11678358123938,0.3203843386277109,-18.19893992381785,0.114810782374743,0.3198732388019562,0.4052665531635284,0.5847583770751953,75.4006430077297,95.52958794710352,137.83946978735673,Support,90.94,2.27,0.2517,1.35,5.0,0.01,11.21,Support,2.3956756497101716e-16,1.6,3.09,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.54,0.3,M_UV_relation,0
24081,primer-uds-north,34.34620665884841,-5.168197042479149,0.016452712798728,0.0046217867973995,-99.0,-99.0,0.0257738076711177,0.0043527660584237,,,0.0302548519708493,0.012231159910566,0.0073167248496248,0.0204857923555273,0.0358976224483437,0.0035310976659251,,,0.0463475128461045,0.0104145819589591,0.0384623331021825,0.0029091009417626,,,0.0707631364705161,0.0027092299359053,0.160345830993697,0.0026303379605873,0.1754208087329426,0.0049986840385579,0.0099635013729016,0.0091166396881982,0.3322097171981511,0.0041841907751334,,,0.0073952010407199,0.0067469829152293,-99.0,-99.0,0.0030432866430449,0.0062435440625098,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6564054,5.6350102,5.679735,1.8,0.1520052964619445,45.12505477427064,0.2655499932708498,-18.423810857378182,0.1135681425445582,0.2805519199371338,0.3267191499471664,0.4225991225242614,66.15792460976571,77.0447797884074,99.6545698007632,Null wins,-3.08,3.96,0.3054,4.68,6.69,0.01,9.25,Null wins,1.6754494494133856e-16,1.12,1.37,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.64,0.3,M_UV_relation,0
