SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
125013.89+451833.6,192.557877263967,45.3093402423206,0.7357897758483887,red1,QSO,23.00468,22.759323,22.392021,21.576078,20.607498
125120.68+541143.3,192.83617616349107,54.195367774460394,0.8009238839149475,red1,QSO,22.294176,21.764463,21.521341,21.15552,20.36764
125129.69+075516.7,192.87370908337132,7.92132347520632,0.801,red1,UNK,22.634024,22.004852,21.375105,20.369001,19.808094
125149.02+450209.7,192.95428583622447,45.036041970178644,0.789,red1,QSO,22.191708,22.203995,21.41346,20.559502,20.256393
125301.22+372745.2,193.25512254343076,37.462562947360034,0.43910345435142517,red2,QSO,21.44767,20.972782,20.167524,19.662825,19.093952
125401.46+260844.8,193.50611922222114,26.14580310768423,0.474,red2,QSO,20.50824,20.184435,20.769255,19.376753,19.292969
125535.96+362546.3,193.89986282419864,36.42953475597134,0.8727306723594666,red1,QSO,22.704746,22.185907,22.140923,21.391994,20.54981
125633.24+423223.6,194.13851221927632,42.53991540782708,0.45197921991348267,red2,QSO,21.744497,21.4935,21.107834,20.502716,20.09585
125635.47+423350.0,194.1478019685198,42.56389930815173,0.412537544965744,red2,QSO,21.831844,21.710773,20.875809,20.321404,19.772144
125702.60-022108.4,194.26085772366577,-2.352334852354872,0.429,red2,UNK,21.724424,21.076775,20.547318,19.901386,19.45247
125829.30+422157.3,194.62209832865403,42.36592993798904,0.7286257147789001,red1,QSO,22.531096,21.856323,21.632074,21.043114,20.123087
125849.62+525531.7,194.70675630227134,52.925476581052735,0.8611496686935425,red1,QSO,22.640892,22.045689,21.950453,21.550058,20.87219
125856.80+382708.7,194.7366915639952,38.45244107129337,0.446,red2,UNK,21.94873,21.596386,20.652405,19.931282,19.563166
125906.40-014827.9,194.77670326778804,-1.807766697893853,0.442,red2,UNK,22.226698,22.141544,20.50603,19.587543,19.210306
125950.09+555358.6,194.95874310117705,55.89963384803105,0.7415165901184082,red1,QSO,22.471708,21.772287,21.480639,20.791336,20.40097
130024.84+404343.6,195.1035015998021,40.72879343235444,0.8668674230575562,red1,QSO,22.62649,22.05257,22.547596,21.816677,21.519262
130137.05+205627.6,195.40439093104183,20.941006017077292,0.48,red2,UNK,21.891056,21.510746,20.556067,19.842894,19.408575
130203.61+372810.7,195.51507280081435,37.469639542504346,0.8030716776847839,red1,QSO,22.376734,21.760485,21.74134,21.358744,20.355978
130459.37+454929.7,196.2474090884001,45.82494007210134,0.702,red1,QSO,21.946394,21.714102,22.120949,21.199976,20.958572
130523.23+213704.9,196.34680725151753,21.618052484041403,0.432,red2,UNK,21.953247,21.782272,20.772097,20.021156,19.409464
130534.07+384356.9,196.39197920616738,38.73249792109586,0.682,red1,UNK,22.327703,21.609781,21.416693,20.777252,20.331892
130607.07+340011.7,196.52949836395055,34.00326177452207,0.4042147994041443,red2,QSO,22.300817,22.011208,20.936344,20.309454,19.890858
130647.27+581203.4,196.69698387281812,58.20096038474414,0.7557901740074158,red1,QSO,22.942505,22.739546,22.148575,21.448524,20.852064
130741.77+490328.0,196.92407783929238,49.05779472432668,0.42136651277542114,red2,QSO,20.351692,25.08253,24.77957,24.345236,19.386133
130746.40+413614.6,196.943338491186,41.60407910742411,0.8376098871231079,red1,QSO,21.47324,21.085033,20.460354,19.84001,19.377089
