id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,verdict
15850,primer-cosmos-east,150.124732216842,2.262793675222228,7.0456376,32.39304868967049,76.68805100667778,0.014417092786243065,24.430311839000957,6.3205445989893825,10.09,Neutral
16083,primer-cosmos-east,150.15079646268185,2.2640963505382845,4.57788,32.862452412170484,90.46193984352976,0.01350462150961726,24.757739178104757,5.437068207172951,9.35,Neutral
16408,primer-cosmos-east,150.15615715727048,2.2660570085501224,4.574863,32.85754973987441,91.36930141555192,0.01363589713938481,24.773843004236312,5.49839939114244,9.42,Neutral
16563,primer-cosmos-east,150.11970350414322,2.26701306487594,5.0219927,32.18920169373365,70.93498214271098,0.011071792462775905,23.65316605785503,5.798279072517771,9.5,Weak
17813,primer-cosmos-east,150.15276902849044,2.2731888044520874,5.226693,33.9809987751926,109.40921548419055,0.017423820388374936,26.42959038470622,5.071892192104368,9.15,Neutral
18893,primer-cosmos-east,150.175824712277,2.2802447039933083,4.8477397,34.24260464846627,166.86677167428374,0.02559769763093011,27.526483853802066,5.165260272300257,9.61,Support
19462,primer-cosmos-east,150.11522538084762,2.2829872921207177,4.365069,33.88382037958982,94.0519368287005,0.013738669800009807,25.816418489687532,5.053264513031969,9.0,Support
19946,primer-cosmos-east,150.13261022932556,2.2854226857852873,5.974449,33.47439143599115,87.65106225812531,0.014985875541830746,25.595676724964903,5.614485632499262,9.5,Weak
20187,primer-cosmos-east,150.16025737937798,2.286544505284899,6.6081676,32.383573129516385,72.95404931448154,0.013206148689775914,24.230328724969567,6.443901195172902,10.17,Support
21943,primer-cosmos-east,150.16301259177584,2.2946759190769757,4.7154994,33.653118525235456,118.53507125803986,0.017943680781627128,26.165550879659488,4.9123062697657485,9.06,Neutral
23571,primer-cosmos-east,150.12923557237977,2.301744061249596,4.760719,34.26274838638295,102.9091919716332,0.015649331411773118,26.47810200744112,5.07509166360892,9.1,Weak
26971,primer-cosmos-east,150.12915260966713,2.3158155426656775,6.4066525,32.56694832715223,133.57555911087675,0.023751910609668938,25.68831575950506,6.018545998605885,10.27,Support
27072,primer-cosmos-east,150.20508952388434,2.3169437028962645,4.957128,28.029902930360286,63.849597371654575,0.009902019188340194,19.251396430001744,8.68968367400771,12.3,Neutral
27765,primer-cosmos-east,150.15836273334443,2.320200072943564,5.1726418,32.94618683837789,83.07954313529999,0.013161023332844064,24.78550981548797,5.70101180073906,9.54,Neutral
31668,primer-cosmos-east,150.14110035653763,2.3383750263790875,5.6076913,31.88872127016853,65.8799880032613,0.010883439931940261,23.315426875102233,6.2224929771745074,9.86,Null wins
31770,primer-cosmos-east,150.17577901959814,2.3387875925965056,5.77907,31.240742966659546,65.86514684958436,0.01105828280051549,22.70205610956676,6.662688671115889,10.3,Support
32928,primer-cosmos-east,150.14445146027904,2.3443942646772653,4.4581003,31.736952656381618,88.29622998359365,0.013021406763361481,23.553116866252545,6.02811567851362,9.92,Support
40209,primer-cosmos-east,150.17591088267326,2.3767573925799814,5.4609075,33.48014855757619,96.23145359555866,0.01567641469419045,25.69925695689137,5.313365908100802,9.28,Neutral
40642,primer-cosmos-east,150.17584231718274,2.3787301519614044,4.63434,33.63211879200173,99.40246644881638,0.014924529184747055,25.744496671674916,5.555205678854842,9.55,Weak
40799,primer-cosmos-east,150.1568560578954,2.379457522024708,7.681151,33.46304116963473,72.90880432892983,0.01444832046770663,25.505002680604367,5.944440047874554,9.67,Null wins
42464,primer-cosmos-east,150.1701806639219,2.388389880603334,5.3674827,31.517804863128354,104.96168627510784,0.0169455229426232,23.905954423888307,6.277938401400025,10.32,Neutral
43445,primer-cosmos-east,150.12941198164475,2.3936625758734276,5.696871,35.00493290238836,150.07226935186785,0.025002125845916535,28.237692268263825,4.617399100258085,8.97,Weak
45179,primer-cosmos-east,150.15583581243612,2.403109007403011,7.1054926,32.92211163768198,59.43450155455832,0.011230330134016388,24.416948935664145,6.621922750277214,10.17,Neutral
47824,primer-cosmos-east,150.12873540017637,2.416333394573136,5.655495,32.7128135611694,104.23361021977952,0.01729766207882796,25.145625286040836,5.943984439628304,9.98,Support
48498,primer-cosmos-east,150.17769474455164,2.4195602786060304,4.453304,34.18922598619891,183.0793189388025,0.026986222960860406,27.58781118889322,4.584721423663499,9.11,Weak
48540,primer-cosmos-east,150.1150718971086,2.419683492382846,5.656249,33.91090984803793,129.66140636657602,0.021518962316334295,26.817891154904032,4.734378544304252,8.96,Neutral
50325,primer-cosmos-east,150.15508225107425,2.4293539770480828,6.427699,33.31248515216054,136.02620503510835,0.02423314531108861,26.477408766448292,5.942754836114766,10.21,Support
50988,primer-cosmos-east,150.17594858416723,2.4324329415506116,4.526494,31.25161799979915,112.92731964664192,0.016770480422340528,23.61722020141731,5.784401959613459,9.89,Support
51514,primer-cosmos-east,150.13169869017457,2.435682049752244,4.43674,31.686350602327348,100.43890060929056,0.014779816209198705,23.777570451708844,5.876196099324278,9.88,Support
